eCM, nPile, seed, R
7000, 2, 11794, 0.4
7000, 2, 11794, 0.5
7000, 2, 11794, 0.6
7000, 3, 23510, 0.4
7000, 3, 23510, 0.5
7000, 3, 23510, 0.6
7000, 4, 24204, 0.4
7000, 4, 24204, 0.5
7000, 4, 24204, 0.6
7000, 5, 22477, 0.4
7000, 5, 22477, 0.5
7000, 5, 22477, 0.6
7000, 6, 5380, 0.4
7000, 6, 5380, 0.5
7000, 6, 5380, 0.6
7000, 7, 3604, 0.4
7000, 7, 3604, 0.5
7000, 7, 3604, 0.6
7000, 8, 25340, 0.4
7000, 8, 25340, 0.5
7000, 8, 25340, 0.6
7000, 9, 20930, 0.4
7000, 9, 20930, 0.5
7000, 9, 20930, 0.6
7000, 10, 13627, 0.4
7000, 10, 13627, 0.5
7000, 10, 13627, 0.6
7000, 11, 27404, 0.4
7000, 11, 27404, 0.5
7000, 11, 27404, 0.6
7000, 12, 14866, 0.4
7000, 12, 14866, 0.5
7000, 12, 14866, 0.6
7000, 13, 16649, 0.4
7000, 13, 16649, 0.5
7000, 13, 16649, 0.6
7000, 14, 23495, 0.4
7000, 14, 23495, 0.5
7000, 14, 23495, 0.6
7000, 15, 2894, 0.4
7000, 15, 2894, 0.5
7000, 15, 2894, 0.6
7000, 16, 23226, 0.4
7000, 16, 23226, 0.5
7000, 16, 23226, 0.6
7000, 17, 14029, 0.4
7000, 17, 14029, 0.5
7000, 17, 14029, 0.6
7000, 18, 27988, 0.4
7000, 18, 27988, 0.5
7000, 18, 27988, 0.6
7000, 19, 19731, 0.4
7000, 19, 19731, 0.5
7000, 19, 19731, 0.6
7000, 20, 23604, 0.4
7000, 20, 23604, 0.5
7000, 20, 23604, 0.6
7000, 21, 696, 0.4
7000, 21, 696, 0.5
7000, 21, 696, 0.6
7000, 22, 16462, 0.4
7000, 22, 16462, 0.5
7000, 22, 16462, 0.6
7000, 23, 4627, 0.4
7000, 23, 4627, 0.5
7000, 23, 4627, 0.6
7000, 24, 19469, 0.4
7000, 24, 19469, 0.5
7000, 24, 19469, 0.6
7000, 25, 4432, 0.4
7000, 25, 4432, 0.5
7000, 25, 4432, 0.6
7000, 26, 15339, 0.4
7000, 26, 15339, 0.5
7000, 26, 15339, 0.6
7000, 27, 3185, 0.4
7000, 27, 3185, 0.5
7000, 27, 3185, 0.6
7000, 28, 32199, 0.4
7000, 28, 32199, 0.5
7000, 28, 32199, 0.6
7000, 29, 25726, 0.4
7000, 29, 25726, 0.5
7000, 29, 25726, 0.6
7000, 30, 15891, 0.4
7000, 30, 15891, 0.5
7000, 30, 15891, 0.6
7000, 31, 5587, 0.4
7000, 31, 5587, 0.5
7000, 31, 5587, 0.6
7000, 32, 32704, 0.4
7000, 32, 32704, 0.5
7000, 32, 32704, 0.6
7000, 33, 13215, 0.4
7000, 33, 13215, 0.5
7000, 33, 13215, 0.6
7000, 34, 14843, 0.4
7000, 34, 14843, 0.5
7000, 34, 14843, 0.6
7000, 35, 17996, 0.4
7000, 35, 17996, 0.5
7000, 35, 17996, 0.6
7000, 36, 22553, 0.4
7000, 36, 22553, 0.5
7000, 36, 22553, 0.6
7000, 37, 8712, 0.4
7000, 37, 8712, 0.5
7000, 37, 8712, 0.6
7000, 38, 27557, 0.4
7000, 38, 27557, 0.5
7000, 38, 27557, 0.6
7000, 39, 25237, 0.4
7000, 39, 25237, 0.5
7000, 39, 25237, 0.6
7000, 40, 24361, 0.4
7000, 40, 24361, 0.5
7000, 40, 24361, 0.6
7000, 41, 8272, 0.4
