eCM, nPile, seed, R
7000, 2, 8359, 0.4
7000, 2, 8359, 0.5
7000, 2, 8359, 0.6
7000, 3, 24333, 0.4
7000, 3, 24333, 0.5
7000, 3, 24333, 0.6
7000, 4, 9172, 0.4
7000, 4, 9172, 0.5
7000, 4, 9172, 0.6
7000, 5, 26608, 0.4
7000, 5, 26608, 0.5
7000, 5, 26608, 0.6
7000, 6, 3398, 0.4
7000, 6, 3398, 0.5
7000, 6, 3398, 0.6
7000, 7, 16793, 0.4
7000, 7, 16793, 0.5
7000, 7, 16793, 0.6
7000, 8, 31891, 0.4
7000, 8, 31891, 0.5
7000, 8, 31891, 0.6
7000, 9, 27347, 0.4
7000, 9, 27347, 0.5
7000, 9, 27347, 0.6
7000, 10, 24876, 0.4
7000, 10, 24876, 0.5
7000, 10, 24876, 0.6
7000, 11, 22911, 0.4
7000, 11, 22911, 0.5
7000, 11, 22911, 0.6
7000, 12, 31488, 0.4
7000, 12, 31488, 0.5
7000, 12, 31488, 0.6
7000, 13, 23849, 0.4
7000, 13, 23849, 0.5
7000, 13, 23849, 0.6
7000, 14, 31752, 0.4
7000, 14, 31752, 0.5
7000, 14, 31752, 0.6
7000, 15, 19164, 0.4
7000, 15, 19164, 0.5
7000, 15, 19164, 0.6
7000, 16, 29882, 0.4
7000, 16, 29882, 0.5
7000, 16, 29882, 0.6
7000, 17, 6927, 0.4
7000, 17, 6927, 0.5
7000, 17, 6927, 0.6
7000, 18, 14132, 0.4
7000, 18, 14132, 0.5
7000, 18, 14132, 0.6
7000, 19, 26840, 0.4
7000, 19, 26840, 0.5
7000, 19, 26840, 0.6
7000, 20, 3590, 0.4
7000, 20, 3590, 0.5
7000, 20, 3590, 0.6
7000, 21, 24927, 0.4
7000, 21, 24927, 0.5
7000, 21, 24927, 0.6
7000, 22, 20435, 0.4
7000, 22, 20435, 0.5
7000, 22, 20435, 0.6
7000, 23, 29906, 0.4
7000, 23, 29906, 0.5
7000, 23, 29906, 0.6
