eCM, nPile, seed, R
7000, 2, 20396, 0.4
7000, 2, 20396, 0.5
7000, 2, 20396, 0.6
7000, 3, 32282, 0.4
7000, 3, 32282, 0.5
7000, 3, 32282, 0.6
7000, 4, 1881, 0.4
7000, 4, 1881, 0.5
7000, 4, 1881, 0.6
7000, 5, 15151, 0.4
7000, 5, 15151, 0.5
7000, 5, 15151, 0.6
7000, 6, 25346, 0.4
7000, 6, 25346, 0.5
7000, 6, 25346, 0.6
7000, 7, 24164, 0.4
7000, 7, 24164, 0.5
7000, 7, 24164, 0.6
7000, 8, 18577, 0.4
7000, 8, 18577, 0.5
7000, 8, 18577, 0.6
7000, 9, 30092, 0.4
7000, 9, 30092, 0.5
7000, 9, 30092, 0.6
7000, 10, 5779, 0.4
7000, 10, 5779, 0.5
7000, 10, 5779, 0.6
7000, 11, 20928, 0.4
7000, 11, 20928, 0.5
7000, 11, 20928, 0.6
7000, 12, 28984, 0.4
7000, 12, 28984, 0.5
7000, 12, 28984, 0.6
7000, 13, 19803, 0.4
7000, 13, 19803, 0.5
7000, 13, 19803, 0.6
7000, 14, 21389, 0.4
7000, 14, 21389, 0.5
7000, 14, 21389, 0.6
7000, 15, 9567, 0.4
7000, 15, 9567, 0.5
7000, 15, 9567, 0.6
7000, 16, 20201, 0.4
7000, 16, 20201, 0.5
7000, 16, 20201, 0.6
7000, 17, 23927, 0.4
7000, 17, 23927, 0.5
7000, 17, 23927, 0.6
7000, 18, 26305, 0.4
7000, 18, 26305, 0.5
7000, 18, 26305, 0.6
7000, 19, 20435, 0.4
7000, 19, 20435, 0.5
7000, 19, 20435, 0.6
7000, 20, 24308, 0.4
7000, 20, 24308, 0.5
7000, 20, 24308, 0.6
7000, 21, 12018, 0.4
7000, 21, 12018, 0.5
7000, 21, 12018, 0.6
7000, 22, 12478, 0.4
7000, 22, 12478, 0.5
7000, 22, 12478, 0.6
7000, 23, 10628, 0.4
7000, 23, 10628, 0.5
7000, 23, 10628, 0.6
7000, 24, 14224, 0.4
7000, 24, 14224, 0.5
7000, 24, 14224, 0.6
7000, 25, 198, 0.4
7000, 25, 198, 0.5
7000, 25, 198, 0.6
7000, 26, 992, 0.4
7000, 26, 992, 0.5
7000, 26, 992, 0.6
7000, 27, 8501, 0.4
7000, 27, 8501, 0.5
7000, 27, 8501, 0.6
7000, 28, 15246, 0.4
7000, 28, 15246, 0.5
7000, 28, 15246, 0.6
7000, 29, 15061, 0.4
7000, 29, 15061, 0.5
7000, 29, 15061, 0.6
7000, 30, 16735, 0.4
7000, 30, 16735, 0.5
7000, 30, 16735, 0.6
7000, 31, 26173, 0.4
7000, 31, 26173, 0.5
7000, 31, 26173, 0.6
7000, 32, 30955, 0.4
7000, 32, 30955, 0.5
7000, 32, 30955, 0.6
7000, 33, 15869, 0.4
7000, 33, 15869, 0.5
7000, 33, 15869, 0.6
7000, 34, 25715, 0.4
7000, 34, 25715, 0.5
7000, 34, 25715, 0.6
7000, 35, 4562, 0.4
7000, 35, 4562, 0.5
7000, 35, 4562, 0.6
7000, 36, 11030, 0.4
7000, 36, 11030, 0.5
7000, 36, 11030, 0.6
7000, 37, 27117, 0.4
7000, 37, 27117, 0.5
7000, 37, 27117, 0.6
7000, 38, 3273, 0.4
7000, 38, 3273, 0.5
7000, 38, 3273, 0.6
7000, 39, 1756, 0.4
7000, 39, 1756, 0.5
7000, 39, 1756, 0.6
7000, 40, 7492, 0.4
7000, 40, 7492, 0.5
7000, 40, 7492, 0.6
7000, 41, 7849, 0.4
7000, 41, 7849, 0.5
7000, 41, 7849, 0.6
7000, 42, 4978, 0.4
7000, 42, 4978, 0.5
7000, 42, 4978, 0.6
7000, 43, 28355, 0.4
7000, 43, 28355, 0.5
7000, 43, 28355, 0.6
7000, 44, 8688, 0.4
7000, 44, 8688, 0.5
7000, 44, 8688, 0.6
7000, 45, 23508, 0.4
7000, 45, 23508, 0.5
7000, 45, 23508, 0.6
7000, 46, 1797, 0.4
7000, 46, 1797, 0.5
7000, 46, 1797, 0.6
7000, 47, 7517, 0.4
7000, 47, 7517, 0.5
7000, 47, 7517, 0.6
7000, 48, 30382, 0.4
7000, 48, 30382, 0.5
7000, 48, 30382, 0.6
7000, 49, 27785, 0.4
7000, 49, 27785, 0.5
7000, 49, 27785, 0.6
7000, 50, 29484, 0.4
7000, 50, 29484, 0.5
7000, 50, 29484, 0.6
14000, 2, 5722, 0.4
14000, 2, 5722, 0.5
14000, 2, 5722, 0.6
14000, 3, 4186, 0.4
14000, 3, 4186, 0.5
14000, 3, 4186, 0.6
14000, 4, 13959, 0.4
14000, 4, 13959, 0.5
14000, 4, 13959, 0.6
14000, 5, 10705, 0.4
14000, 5, 10705, 0.5
14000, 5, 10705, 0.6
14000, 6, 12772, 0.4
14000, 6, 12772, 0.5
14000, 6, 12772, 0.6
14000, 7, 4604, 0.4
14000, 7, 4604, 0.5
14000, 7, 4604, 0.6
14000, 8, 22278, 0.4
14000, 8, 22278, 0.5
14000, 8, 22278, 0.6
14000, 9, 8733, 0.4
14000, 9, 8733, 0.5
14000, 9, 8733, 0.6
14000, 10, 28273, 0.4
14000, 10, 28273, 0.5
14000, 10, 28273, 0.6
14000, 11, 29854, 0.4
14000, 11, 29854, 0.5
14000, 11, 29854, 0.6
14000, 12, 22815, 0.4
14000, 12, 22815, 0.5
14000, 12, 22815, 0.6
14000, 13, 13063, 0.4
14000, 13, 13063, 0.5
14000, 13, 13063, 0.6
14000, 14, 14114, 0.4
14000, 14, 14114, 0.5
14000, 14, 14114, 0.6
14000, 15, 15630, 0.4
14000, 15, 15630, 0.5
14000, 15, 15630, 0.6
14000, 16, 4421, 0.4
14000, 16, 4421, 0.5
14000, 16, 4421, 0.6
14000, 17, 27674, 0.4
14000, 17, 27674, 0.5
14000, 17, 27674, 0.6
14000, 18, 26325, 0.4
14000, 18, 26325, 0.5
14000, 18, 26325, 0.6
14000, 19, 18967, 0.4
14000, 19, 18967, 0.5
14000, 19, 18967, 0.6
14000, 20, 28202, 0.4
14000, 20, 28202, 0.5
14000, 20, 28202, 0.6
14000, 21, 12498, 0.4
14000, 21, 12498, 0.5
14000, 21, 12498, 0.6
14000, 22, 583, 0.4
14000, 22, 583, 0.5
14000, 22, 583, 0.6
14000, 23, 16792, 0.4
14000, 23, 16792, 0.5
14000, 23, 16792, 0.6
14000, 24, 8872, 0.4
14000, 24, 8872, 0.5
14000, 24, 8872, 0.6
14000, 25, 4398, 0.4
14000, 25, 4398, 0.5
14000, 25, 4398, 0.6
14000, 26, 12486, 0.4
14000, 26, 12486, 0.5
14000, 26, 12486, 0.6
14000, 27, 23659, 0.4
14000, 27, 23659, 0.5
14000, 27, 23659, 0.6
14000, 28, 10042, 0.4
14000, 28, 10042, 0.5
14000, 28, 10042, 0.6
14000, 29, 5578, 0.4
14000, 29, 5578, 0.5
14000, 29, 5578, 0.6
14000, 30, 9545, 0.4
14000, 30, 9545, 0.5
14000, 30, 9545, 0.6
14000, 31, 12017, 0.4
14000, 31, 12017, 0.5
14000, 31, 12017, 0.6
14000, 32, 30993, 0.4
14000, 32, 30993, 0.5
14000, 32, 30993, 0.6
14000, 33, 3662, 0.4
14000, 33, 3662, 0.5
14000, 33, 3662, 0.6
14000, 34, 21899, 0.4
14000, 34, 21899, 0.5
14000, 34, 21899, 0.6
14000, 35, 17202, 0.4
14000, 35, 17202, 0.5
14000, 35, 17202, 0.6
14000, 36, 16091, 0.4
14000, 36, 16091, 0.5
14000, 36, 16091, 0.6
14000, 37, 19747, 0.4
14000, 37, 19747, 0.5
14000, 37, 19747, 0.6
14000, 38, 31481, 0.4
14000, 38, 31481, 0.5
14000, 38, 31481, 0.6
14000, 39, 18120, 0.4
14000, 39, 18120, 0.5
14000, 39, 18120, 0.6
14000, 40, 20085, 0.4
14000, 40, 20085, 0.5
14000, 40, 20085, 0.6
14000, 41, 7899, 0.4
14000, 41, 7899, 0.5
14000, 41, 7899, 0.6
14000, 42, 26762, 0.4
14000, 42, 26762, 0.5
14000, 42, 26762, 0.6
14000, 43, 30127, 0.4
14000, 43, 30127, 0.5
14000, 43, 30127, 0.6
14000, 44, 29021, 0.4
14000, 44, 29021, 0.5
14000, 44, 29021, 0.6
14000, 45, 26024, 0.4
14000, 45, 26024, 0.5
14000, 45, 26024, 0.6
14000, 46, 6758, 0.4
14000, 46, 6758, 0.5
14000, 46, 6758, 0.6
14000, 47, 24226, 0.4
14000, 47, 24226, 0.5
14000, 47, 24226, 0.6
14000, 48, 31878, 0.4
14000, 48, 31878, 0.5
14000, 48, 31878, 0.6
14000, 49, 7435, 0.4
14000, 49, 7435, 0.5
14000, 49, 7435, 0.6
14000, 50, 29617, 0.4
14000, 50, 29617, 0.5
14000, 50, 29617, 0.6
