eCM, nPile, seed, R
7000, 2, 26141, 0.4
7000, 2, 26141, 0.5
7000, 2, 26141, 0.6
7000, 3, 21482, 0.4
7000, 3, 21482, 0.5
7000, 3, 21482, 0.6
7000, 4, 27313, 0.4
7000, 4, 27313, 0.5
7000, 4, 27313, 0.6
7000, 5, 12545, 0.4
7000, 5, 12545, 0.5
7000, 5, 12545, 0.6
7000, 6, 31144, 0.4
7000, 6, 31144, 0.5
7000, 6, 31144, 0.6
7000, 7, 20422, 0.4
7000, 7, 20422, 0.5
7000, 7, 20422, 0.6
7000, 8, 10531, 0.4
7000, 8, 10531, 0.5
7000, 8, 10531, 0.6
7000, 9, 25028, 0.4
7000, 9, 25028, 0.5
7000, 9, 25028, 0.6
7000, 10, 15973, 0.4
7000, 10, 15973, 0.5
7000, 10, 15973, 0.6
7000, 11, 6056, 0.4
7000, 11, 6056, 0.5
7000, 11, 6056, 0.6
7000, 12, 14341, 0.4
7000, 12, 14341, 0.5
7000, 12, 14341, 0.6
7000, 13, 6882, 0.4
7000, 13, 6882, 0.5
7000, 13, 6882, 0.6
7000, 14, 13593, 0.4
7000, 14, 13593, 0.5
7000, 14, 13593, 0.6
7000, 15, 14502, 0.4
7000, 15, 14502, 0.5
7000, 15, 14502, 0.6
7000, 16, 16620, 0.4
7000, 16, 16620, 0.5
7000, 16, 16620, 0.6
7000, 17, 30347, 0.4
7000, 17, 30347, 0.5
7000, 17, 30347, 0.6
7000, 18, 32093, 0.4
7000, 18, 32093, 0.5
7000, 18, 32093, 0.6
7000, 19, 11302, 0.4
7000, 19, 11302, 0.5
7000, 19, 11302, 0.6
7000, 20, 18068, 0.4
7000, 20, 18068, 0.5
7000, 20, 18068, 0.6
7000, 21, 27477, 0.4
7000, 21, 27477, 0.5
7000, 21, 27477, 0.6
7000, 22, 29194, 0.4
7000, 22, 29194, 0.5
7000, 22, 29194, 0.6
7000, 23, 7511, 0.4
7000, 23, 7511, 0.5
7000, 23, 7511, 0.6
7000, 24, 29019, 0.4
7000, 24, 29019, 0.5
7000, 24, 29019, 0.6
7000, 25, 17305, 0.4
7000, 25, 17305, 0.5
7000, 25, 17305, 0.6
7000, 26, 15394, 0.4
7000, 26, 15394, 0.5
7000, 26, 15394, 0.6
7000, 27, 7272, 0.4
7000, 27, 7272, 0.5
7000, 27, 7272, 0.6
7000, 28, 19650, 0.4
7000, 28, 19650, 0.5
7000, 28, 19650, 0.6
7000, 29, 120, 0.4
7000, 29, 120, 0.5
7000, 29, 120, 0.6
7000, 30, 3121, 0.4
7000, 30, 3121, 0.5
7000, 30, 3121, 0.6
7000, 31, 3986, 0.4
7000, 31, 3986, 0.5
7000, 31, 3986, 0.6
7000, 32, 3359, 0.4
7000, 32, 3359, 0.5
7000, 32, 3359, 0.6
7000, 33, 12176, 0.4
7000, 33, 12176, 0.5
7000, 33, 12176, 0.6
7000, 34, 18125, 0.4
7000, 34, 18125, 0.5
7000, 34, 18125, 0.6
7000, 35, 31511, 0.4
7000, 35, 31511, 0.5
7000, 35, 31511, 0.6
7000, 36, 28273, 0.4
7000, 36, 28273, 0.5
7000, 36, 28273, 0.6
7000, 37, 23904, 0.4
7000, 37, 23904, 0.5
7000, 37, 23904, 0.6
7000, 38, 9262, 0.4
7000, 38, 9262, 0.5
7000, 38, 9262, 0.6
7000, 39, 28389, 0.4
7000, 39, 28389, 0.5
7000, 39, 28389, 0.6
7000, 40, 21789, 0.4
7000, 40, 21789, 0.5
7000, 40, 21789, 0.6
7000, 41, 11227, 0.4
7000, 41, 11227, 0.5
7000, 41, 11227, 0.6
7000, 42, 23583, 0.4
7000, 42, 23583, 0.5
7000, 42, 23583, 0.6
7000, 43, 16500, 0.4
7000, 43, 16500, 0.5
7000, 43, 16500, 0.6
7000, 44, 16373, 0.4
7000, 44, 16373, 0.5
7000, 44, 16373, 0.6
7000, 45, 8546, 0.4
7000, 45, 8546, 0.5
7000, 45, 8546, 0.6
7000, 46, 28012, 0.4
7000, 46, 28012, 0.5
7000, 46, 28012, 0.6
7000, 47, 29499, 0.4
7000, 47, 29499, 0.5
7000, 47, 29499, 0.6
7000, 48, 19556, 0.4
7000, 48, 19556, 0.5
7000, 48, 19556, 0.6
7000, 49, 25505, 0.4
7000, 49, 25505, 0.5
7000, 49, 25505, 0.6
7000, 50, 8747, 0.4
7000, 50, 8747, 0.5
7000, 50, 8747, 0.6
14000, 2, 30514, 0.4
14000, 2, 30514, 0.5
14000, 2, 30514, 0.6
14000, 3, 12975, 0.4
14000, 3, 12975, 0.5
14000, 3, 12975, 0.6
14000, 4, 13061, 0.4
14000, 4, 13061, 0.5
14000, 4, 13061, 0.6
14000, 5, 23722, 0.4
14000, 5, 23722, 0.5
14000, 5, 23722, 0.6
14000, 6, 22739, 0.4
14000, 6, 22739, 0.5
14000, 6, 22739, 0.6
14000, 7, 22449, 0.4
14000, 7, 22449, 0.5
14000, 7, 22449, 0.6
14000, 8, 17271, 0.4
14000, 8, 17271, 0.5
14000, 8, 17271, 0.6
14000, 9, 6306, 0.4
14000, 9, 6306, 0.5
14000, 9, 6306, 0.6
14000, 10, 1035, 0.4
14000, 10, 1035, 0.5
14000, 10, 1035, 0.6
14000, 11, 13189, 0.4
14000, 11, 13189, 0.5
14000, 11, 13189, 0.6
14000, 12, 4766, 0.4
14000, 12, 4766, 0.5
14000, 12, 4766, 0.6
14000, 13, 26125, 0.4
14000, 13, 26125, 0.5
14000, 13, 26125, 0.6
14000, 14, 6590, 0.4
14000, 14, 6590, 0.5
14000, 14, 6590, 0.6
14000, 15, 11424, 0.4
14000, 15, 11424, 0.5
14000, 15, 11424, 0.6
14000, 16, 6551, 0.4
14000, 16, 6551, 0.5
14000, 16, 6551, 0.6
14000, 17, 12895, 0.4
14000, 17, 12895, 0.5
14000, 17, 12895, 0.6
14000, 18, 20265, 0.4
14000, 18, 20265, 0.5
14000, 18, 20265, 0.6
14000, 19, 11357, 0.4
14000, 19, 11357, 0.5
14000, 19, 11357, 0.6
14000, 20, 17526, 0.4
14000, 20, 17526, 0.5
14000, 20, 17526, 0.6
14000, 21, 26341, 0.4
14000, 21, 26341, 0.5
14000, 21, 26341, 0.6
14000, 22, 5460, 0.4
14000, 22, 5460, 0.5
14000, 22, 5460, 0.6
14000, 23, 27154, 0.4
14000, 23, 27154, 0.5
14000, 23, 27154, 0.6
14000, 24, 25880, 0.4
14000, 24, 25880, 0.5
14000, 24, 25880, 0.6
14000, 25, 24982, 0.4
14000, 25, 24982, 0.5
14000, 25, 24982, 0.6
14000, 26, 4641, 0.4
14000, 26, 4641, 0.5
14000, 26, 4641, 0.6
14000, 27, 25473, 0.4
14000, 27, 25473, 0.5
14000, 27, 25473, 0.6
14000, 28, 22089, 0.4
14000, 28, 22089, 0.5
14000, 28, 22089, 0.6
14000, 29, 5484, 0.4
14000, 29, 5484, 0.5
14000, 29, 5484, 0.6
14000, 30, 6418, 0.4
14000, 30, 6418, 0.5
14000, 30, 6418, 0.6
14000, 31, 17680, 0.4
14000, 31, 17680, 0.5
14000, 31, 17680, 0.6
14000, 32, 25602, 0.4
14000, 32, 25602, 0.5
14000, 32, 25602, 0.6
14000, 33, 5334, 0.4
14000, 33, 5334, 0.5
14000, 33, 5334, 0.6
14000, 34, 16397, 0.4
14000, 34, 16397, 0.5
14000, 34, 16397, 0.6
14000, 35, 17774, 0.4
14000, 35, 17774, 0.5
14000, 35, 17774, 0.6
14000, 36, 31975, 0.4
14000, 36, 31975, 0.5
14000, 36, 31975, 0.6
14000, 37, 28303, 0.4
14000, 37, 28303, 0.5
14000, 37, 28303, 0.6
14000, 38, 11844, 0.4
14000, 38, 11844, 0.5
14000, 38, 11844, 0.6
14000, 39, 20516, 0.4
14000, 39, 20516, 0.5
14000, 39, 20516, 0.6
14000, 40, 12407, 0.4
14000, 40, 12407, 0.5
14000, 40, 12407, 0.6
14000, 41, 6970, 0.4
14000, 41, 6970, 0.5
14000, 41, 6970, 0.6
14000, 42, 10499, 0.4
14000, 42, 10499, 0.5
14000, 42, 10499, 0.6
14000, 43, 24763, 0.4
14000, 43, 24763, 0.5
14000, 43, 24763, 0.6
14000, 44, 27280, 0.4
14000, 44, 27280, 0.5
14000, 44, 27280, 0.6
14000, 45, 17943, 0.4
14000, 45, 17943, 0.5
14000, 45, 17943, 0.6
14000, 46, 17712, 0.4
14000, 46, 17712, 0.5
14000, 46, 17712, 0.6
14000, 47, 1215, 0.4
14000, 47, 1215, 0.5
14000, 47, 1215, 0.6
14000, 48, 28088, 0.4
14000, 48, 28088, 0.5
14000, 48, 28088, 0.6
14000, 49, 9518, 0.4
14000, 49, 9518, 0.5
14000, 49, 9518, 0.6
14000, 50, 8441, 0.4
14000, 50, 8441, 0.5
14000, 50, 8441, 0.6
