eCM, nPile, seed, R
7000, 2, 16528, 0.4
7000, 2, 16528, 0.5
7000, 2, 16528, 0.6
7000, 3, 2304, 0.4
7000, 3, 2304, 0.5
7000, 3, 2304, 0.6
7000, 4, 914, 0.4
7000, 4, 914, 0.5
7000, 4, 914, 0.6
7000, 5, 7883, 0.4
7000, 5, 7883, 0.5
7000, 5, 7883, 0.6
7000, 6, 26899, 0.4
7000, 6, 26899, 0.5
7000, 6, 26899, 0.6
7000, 7, 2460, 0.4
7000, 7, 2460, 0.5
7000, 7, 2460, 0.6
7000, 8, 6456, 0.4
7000, 8, 6456, 0.5
7000, 8, 6456, 0.6
7000, 9, 31772, 0.4
7000, 9, 31772, 0.5
7000, 9, 31772, 0.6
7000, 10, 16142, 0.4
7000, 10, 16142, 0.5
7000, 10, 16142, 0.6
7000, 11, 21256, 0.4
7000, 11, 21256, 0.5
7000, 11, 21256, 0.6
7000, 12, 24465, 0.4
7000, 12, 24465, 0.5
7000, 12, 24465, 0.6
7000, 13, 23959, 0.4
7000, 13, 23959, 0.5
7000, 13, 23959, 0.6
7000, 14, 12197, 0.4
7000, 14, 12197, 0.5
7000, 14, 12197, 0.6
7000, 15, 20174, 0.4
7000, 15, 20174, 0.5
7000, 15, 20174, 0.6
7000, 16, 23082, 0.4
7000, 16, 23082, 0.5
7000, 16, 23082, 0.6
7000, 17, 22823, 0.4
7000, 17, 22823, 0.5
7000, 17, 22823, 0.6
7000, 18, 15743, 0.4
7000, 18, 15743, 0.5
7000, 18, 15743, 0.6
7000, 19, 1421, 0.4
7000, 19, 1421, 0.5
7000, 19, 1421, 0.6
7000, 20, 4703, 0.4
7000, 20, 4703, 0.5
7000, 20, 4703, 0.6
7000, 21, 29513, 0.4
7000, 21, 29513, 0.5
7000, 21, 29513, 0.6
7000, 22, 28438, 0.4
7000, 22, 28438, 0.5
7000, 22, 28438, 0.6
7000, 23, 14230, 0.4
7000, 23, 14230, 0.5
7000, 23, 14230, 0.6
7000, 24, 12095, 0.4
7000, 24, 12095, 0.5
7000, 24, 12095, 0.6
7000, 25, 55, 0.4
7000, 25, 55, 0.5
7000, 25, 55, 0.6
7000, 26, 21850, 0.4
7000, 26, 21850, 0.5
7000, 26, 21850, 0.6
7000, 27, 18180, 0.4
7000, 27, 18180, 0.5
7000, 27, 18180, 0.6
