eCM, nPile, seed, R
7000, 2, 15722, 0.4
7000, 2, 15722, 0.5
7000, 2, 15722, 0.6
7000, 3, 13364, 0.4
7000, 3, 13364, 0.5
7000, 3, 13364, 0.6
7000, 4, 27506, 0.4
7000, 4, 27506, 0.5
7000, 4, 27506, 0.6
7000, 5, 12522, 0.4
7000, 5, 12522, 0.5
7000, 5, 12522, 0.6
7000, 6, 4942, 0.4
7000, 6, 4942, 0.5
7000, 6, 4942, 0.6
7000, 7, 12731, 0.4
7000, 7, 12731, 0.5
7000, 7, 12731, 0.6
7000, 8, 2203, 0.4
7000, 8, 2203, 0.5
7000, 8, 2203, 0.6
7000, 9, 13964, 0.4
7000, 9, 13964, 0.5
7000, 9, 13964, 0.6
7000, 10, 21063, 0.4
7000, 10, 21063, 0.5
7000, 10, 21063, 0.6
7000, 11, 29280, 0.4
7000, 11, 29280, 0.5
7000, 11, 29280, 0.6
7000, 12, 14611, 0.4
7000, 12, 14611, 0.5
7000, 12, 14611, 0.6
7000, 13, 27788, 0.4
7000, 13, 27788, 0.5
7000, 13, 27788, 0.6
7000, 14, 6755, 0.4
7000, 14, 6755, 0.5
7000, 14, 6755, 0.6
7000, 15, 10835, 0.4
7000, 15, 10835, 0.5
7000, 15, 10835, 0.6
7000, 16, 410, 0.4
7000, 16, 410, 0.5
7000, 16, 410, 0.6
7000, 17, 27767, 0.4
7000, 17, 27767, 0.5
7000, 17, 27767, 0.6
7000, 18, 9870, 0.4
7000, 18, 9870, 0.5
7000, 18, 9870, 0.6
7000, 19, 27465, 0.4
7000, 19, 27465, 0.5
7000, 19, 27465, 0.6
7000, 20, 25585, 0.4
7000, 20, 25585, 0.5
7000, 20, 25585, 0.6
7000, 21, 3262, 0.4
7000, 21, 3262, 0.5
7000, 21, 3262, 0.6
7000, 22, 24356, 0.4
7000, 22, 24356, 0.5
7000, 22, 24356, 0.6
7000, 23, 28388, 0.4
7000, 23, 28388, 0.5
7000, 23, 28388, 0.6
7000, 24, 22752, 0.4
7000, 24, 22752, 0.5
7000, 24, 22752, 0.6
7000, 25, 5166, 0.4
7000, 25, 5166, 0.5
7000, 25, 5166, 0.6
7000, 26, 9937, 0.4
7000, 26, 9937, 0.5
7000, 26, 9937, 0.6
7000, 27, 5663, 0.4
7000, 27, 5663, 0.5
7000, 27, 5663, 0.6
7000, 28, 7853, 0.4
7000, 28, 7853, 0.5
7000, 28, 7853, 0.6
7000, 29, 5291, 0.4
7000, 29, 5291, 0.5
7000, 29, 5291, 0.6
7000, 30, 14044, 0.4
7000, 30, 14044, 0.5
7000, 30, 14044, 0.6
7000, 31, 25458, 0.4
7000, 31, 25458, 0.5
7000, 31, 25458, 0.6
7000, 32, 30666, 0.4
7000, 32, 30666, 0.5
7000, 32, 30666, 0.6
7000, 33, 3280, 0.4
7000, 33, 3280, 0.5
7000, 33, 3280, 0.6
7000, 34, 23684, 0.4
7000, 34, 23684, 0.5
7000, 34, 23684, 0.6
7000, 35, 14161, 0.4
7000, 35, 14161, 0.5
7000, 35, 14161, 0.6
7000, 36, 29645, 0.4
7000, 36, 29645, 0.5
7000, 36, 29645, 0.6
7000, 37, 26215, 0.4
7000, 37, 26215, 0.5
7000, 37, 26215, 0.6
7000, 38, 15251, 0.4
7000, 38, 15251, 0.5
7000, 38, 15251, 0.6
7000, 39, 26400, 0.4
7000, 39, 26400, 0.5
7000, 39, 26400, 0.6
7000, 40, 13422, 0.4
7000, 40, 13422, 0.5
7000, 40, 13422, 0.6
7000, 41, 26402, 0.4
7000, 41, 26402, 0.5
7000, 41, 26402, 0.6
7000, 42, 12021, 0.4
7000, 42, 12021, 0.5
7000, 42, 12021, 0.6
7000, 43, 10621, 0.4
7000, 43, 10621, 0.5
7000, 43, 10621, 0.6
7000, 44, 6862, 0.4
7000, 44, 6862, 0.5
7000, 44, 6862, 0.6
7000, 45, 9189, 0.4
7000, 45, 9189, 0.5
7000, 45, 9189, 0.6
7000, 46, 16482, 0.4
7000, 46, 16482, 0.5
7000, 46, 16482, 0.6
7000, 47, 13024, 0.4
7000, 47, 13024, 0.5
7000, 47, 13024, 0.6
7000, 48, 18909, 0.4
7000, 48, 18909, 0.5
7000, 48, 18909, 0.6
7000, 49, 650, 0.4
7000, 49, 650, 0.5
7000, 49, 650, 0.6
7000, 50, 32760, 0.4
7000, 50, 32760, 0.5
7000, 50, 32760, 0.6
14000, 2, 7951, 0.4
14000, 2, 7951, 0.5
14000, 2, 7951, 0.6
14000, 3, 17116, 0.4
14000, 3, 17116, 0.5
14000, 3, 17116, 0.6
14000, 4, 18957, 0.4
14000, 4, 18957, 0.5
14000, 4, 18957, 0.6
14000, 5, 23750, 0.4
14000, 5, 23750, 0.5
14000, 5, 23750, 0.6
14000, 6, 4192, 0.4
14000, 6, 4192, 0.5
14000, 6, 4192, 0.6
14000, 7, 21982, 0.4
14000, 7, 21982, 0.5
14000, 7, 21982, 0.6
14000, 8, 9446, 0.4
14000, 8, 9446, 0.5
14000, 8, 9446, 0.6
14000, 9, 20420, 0.4
14000, 9, 20420, 0.5
14000, 9, 20420, 0.6
14000, 10, 28218, 0.4
14000, 10, 28218, 0.5
14000, 10, 28218, 0.6
14000, 11, 18836, 0.4
14000, 11, 18836, 0.5
14000, 11, 18836, 0.6
14000, 12, 13174, 0.4
14000, 12, 13174, 0.5
14000, 12, 13174, 0.6
14000, 13, 22998, 0.4
14000, 13, 22998, 0.5
14000, 13, 22998, 0.6
14000, 14, 8496, 0.4
14000, 14, 8496, 0.5
14000, 14, 8496, 0.6
14000, 15, 786, 0.4
14000, 15, 786, 0.5
14000, 15, 786, 0.6
14000, 16, 28750, 0.4
14000, 16, 28750, 0.5
14000, 16, 28750, 0.6
14000, 17, 17778, 0.4
14000, 17, 17778, 0.5
14000, 17, 17778, 0.6
14000, 18, 2067, 0.4
14000, 18, 2067, 0.5
14000, 18, 2067, 0.6
14000, 19, 28190, 0.4
14000, 19, 28190, 0.5
14000, 19, 28190, 0.6
14000, 20, 17868, 0.4
14000, 20, 17868, 0.5
14000, 20, 17868, 0.6
14000, 21, 5165, 0.4
14000, 21, 5165, 0.5
14000, 21, 5165, 0.6
14000, 22, 28445, 0.4
14000, 22, 28445, 0.5
14000, 22, 28445, 0.6
14000, 23, 13393, 0.4
14000, 23, 13393, 0.5
14000, 23, 13393, 0.6
14000, 24, 2376, 0.4
14000, 24, 2376, 0.5
14000, 24, 2376, 0.6
14000, 25, 9727, 0.4
14000, 25, 9727, 0.5
14000, 25, 9727, 0.6
14000, 26, 16537, 0.4
14000, 26, 16537, 0.5
14000, 26, 16537, 0.6
14000, 27, 6823, 0.4
14000, 27, 6823, 0.5
14000, 27, 6823, 0.6
14000, 28, 5278, 0.4
14000, 28, 5278, 0.5
14000, 28, 5278, 0.6
14000, 29, 28315, 0.4
14000, 29, 28315, 0.5
14000, 29, 28315, 0.6
14000, 30, 15861, 0.4
14000, 30, 15861, 0.5
14000, 30, 15861, 0.6
14000, 31, 20898, 0.4
14000, 31, 20898, 0.5
14000, 31, 20898, 0.6
14000, 32, 13834, 0.4
14000, 32, 13834, 0.5
14000, 32, 13834, 0.6
14000, 33, 6911, 0.4
14000, 33, 6911, 0.5
14000, 33, 6911, 0.6
14000, 34, 4268, 0.4
14000, 34, 4268, 0.5
14000, 34, 4268, 0.6
14000, 35, 17275, 0.4
14000, 35, 17275, 0.5
14000, 35, 17275, 0.6
14000, 36, 27387, 0.4
14000, 36, 27387, 0.5
14000, 36, 27387, 0.6
14000, 37, 13618, 0.4
14000, 37, 13618, 0.5
14000, 37, 13618, 0.6
14000, 38, 3893, 0.4
14000, 38, 3893, 0.5
14000, 38, 3893, 0.6
14000, 39, 9489, 0.4
14000, 39, 9489, 0.5
14000, 39, 9489, 0.6
14000, 40, 17446, 0.4
14000, 40, 17446, 0.5
14000, 40, 17446, 0.6
14000, 41, 23538, 0.4
14000, 41, 23538, 0.5
14000, 41, 23538, 0.6
14000, 42, 14675, 0.4
14000, 42, 14675, 0.5
14000, 42, 14675, 0.6
14000, 43, 15110, 0.4
14000, 43, 15110, 0.5
14000, 43, 15110, 0.6
14000, 44, 9757, 0.4
14000, 44, 9757, 0.5
14000, 44, 9757, 0.6
14000, 45, 29159, 0.4
14000, 45, 29159, 0.5
14000, 45, 29159, 0.6
14000, 46, 14035, 0.4
14000, 46, 14035, 0.5
14000, 46, 14035, 0.6
14000, 47, 31089, 0.4
14000, 47, 31089, 0.5
14000, 47, 31089, 0.6
14000, 48, 2965, 0.4
14000, 48, 2965, 0.5
14000, 48, 2965, 0.6
14000, 49, 12333, 0.4
14000, 49, 12333, 0.5
14000, 49, 12333, 0.6
14000, 50, 10766, 0.4
14000, 50, 10766, 0.5
14000, 50, 10766, 0.6
