eCM, nPile, seed, R
7000, 2, 25839, 0.4
7000, 2, 25839, 0.5
7000, 2, 25839, 0.6
7000, 3, 10327, 0.4
7000, 3, 10327, 0.5
7000, 3, 10327, 0.6
7000, 4, 7312, 0.4
7000, 4, 7312, 0.5
7000, 4, 7312, 0.6
7000, 5, 26139, 0.4
7000, 5, 26139, 0.5
7000, 5, 26139, 0.6
7000, 6, 21287, 0.4
7000, 6, 21287, 0.5
7000, 6, 21287, 0.6
7000, 7, 29065, 0.4
7000, 7, 29065, 0.5
7000, 7, 29065, 0.6
7000, 8, 5373, 0.4
7000, 8, 5373, 0.5
7000, 8, 5373, 0.6
7000, 9, 8947, 0.4
7000, 9, 8947, 0.5
7000, 9, 8947, 0.6
7000, 10, 14808, 0.4
7000, 10, 14808, 0.5
7000, 10, 14808, 0.6
7000, 11, 27534, 0.4
7000, 11, 27534, 0.5
7000, 11, 27534, 0.6
7000, 12, 32051, 0.4
7000, 12, 32051, 0.5
7000, 12, 32051, 0.6
7000, 13, 31746, 0.4
7000, 13, 31746, 0.5
7000, 13, 31746, 0.6
7000, 14, 5894, 0.4
7000, 14, 5894, 0.5
7000, 14, 5894, 0.6
7000, 15, 18208, 0.4
7000, 15, 18208, 0.5
7000, 15, 18208, 0.6
7000, 16, 17613, 0.4
7000, 16, 17613, 0.5
7000, 16, 17613, 0.6
7000, 17, 8856, 0.4
7000, 17, 8856, 0.5
7000, 17, 8856, 0.6
7000, 18, 31907, 0.4
7000, 18, 31907, 0.5
7000, 18, 31907, 0.6
7000, 19, 27857, 0.4
7000, 19, 27857, 0.5
7000, 19, 27857, 0.6
7000, 20, 11200, 0.4
7000, 20, 11200, 0.5
7000, 20, 11200, 0.6
7000, 21, 801, 0.4
7000, 21, 801, 0.5
7000, 21, 801, 0.6
7000, 22, 16421, 0.4
7000, 22, 16421, 0.5
7000, 22, 16421, 0.6
7000, 23, 2636, 0.4
7000, 23, 2636, 0.5
7000, 23, 2636, 0.6
7000, 24, 9002, 0.4
7000, 24, 9002, 0.5
7000, 24, 9002, 0.6
7000, 25, 14995, 0.4
7000, 25, 14995, 0.5
7000, 25, 14995, 0.6
7000, 26, 16530, 0.4
7000, 26, 16530, 0.5
7000, 26, 16530, 0.6
7000, 27, 30427, 0.4
7000, 27, 30427, 0.5
7000, 27, 30427, 0.6
7000, 28, 19440, 0.4
7000, 28, 19440, 0.5
7000, 28, 19440, 0.6
7000, 29, 22145, 0.4
7000, 29, 22145, 0.5
7000, 29, 22145, 0.6
7000, 30, 27951, 0.4
7000, 30, 27951, 0.5
7000, 30, 27951, 0.6
7000, 31, 28282, 0.4
7000, 31, 28282, 0.5
7000, 31, 28282, 0.6
7000, 32, 15741, 0.4
7000, 32, 15741, 0.5
7000, 32, 15741, 0.6
7000, 33, 30450, 0.4
7000, 33, 30450, 0.5
7000, 33, 30450, 0.6
7000, 34, 15608, 0.4
7000, 34, 15608, 0.5
7000, 34, 15608, 0.6
7000, 35, 31845, 0.4
7000, 35, 31845, 0.5
7000, 35, 31845, 0.6
7000, 36, 3417, 0.4
7000, 36, 3417, 0.5
7000, 36, 3417, 0.6
7000, 37, 31211, 0.4
7000, 37, 31211, 0.5
7000, 37, 31211, 0.6
7000, 38, 2982, 0.4
7000, 38, 2982, 0.5
7000, 38, 2982, 0.6
7000, 39, 3489, 0.4
7000, 39, 3489, 0.5
7000, 39, 3489, 0.6
7000, 40, 30036, 0.4
7000, 40, 30036, 0.5
7000, 40, 30036, 0.6
7000, 41, 11562, 0.4
7000, 41, 11562, 0.5
7000, 41, 11562, 0.6
7000, 42, 30583, 0.4
7000, 42, 30583, 0.5
7000, 42, 30583, 0.6
7000, 43, 31325, 0.4
7000, 43, 31325, 0.5
7000, 43, 31325, 0.6
7000, 44, 10955, 0.4
7000, 44, 10955, 0.5
7000, 44, 10955, 0.6
7000, 45, 21114, 0.4
7000, 45, 21114, 0.5
7000, 45, 21114, 0.6
7000, 46, 27999, 0.4
7000, 46, 27999, 0.5
7000, 46, 27999, 0.6
7000, 47, 11918, 0.4
7000, 47, 11918, 0.5
7000, 47, 11918, 0.6
7000, 48, 18072, 0.4
7000, 48, 18072, 0.5
7000, 48, 18072, 0.6
7000, 49, 25209, 0.4
7000, 49, 25209, 0.5
7000, 49, 25209, 0.6
7000, 50, 8626, 0.4
7000, 50, 8626, 0.5
7000, 50, 8626, 0.6
14000, 2, 2038, 0.4
14000, 2, 2038, 0.5
14000, 2, 2038, 0.6
14000, 3, 28611, 0.4
14000, 3, 28611, 0.5
14000, 3, 28611, 0.6
14000, 4, 6737, 0.4
14000, 4, 6737, 0.5
14000, 4, 6737, 0.6
14000, 5, 22972, 0.4
14000, 5, 22972, 0.5
14000, 5, 22972, 0.6
14000, 6, 4219, 0.4
14000, 6, 4219, 0.5
14000, 6, 4219, 0.6
14000, 7, 17213, 0.4
14000, 7, 17213, 0.5
14000, 7, 17213, 0.6
14000, 8, 13991, 0.4
14000, 8, 13991, 0.5
14000, 8, 13991, 0.6
14000, 9, 27285, 0.4
14000, 9, 27285, 0.5
14000, 9, 27285, 0.6
14000, 10, 2758, 0.4
14000, 10, 2758, 0.5
14000, 10, 2758, 0.6
14000, 11, 3981, 0.4
14000, 11, 3981, 0.5
14000, 11, 3981, 0.6
14000, 12, 17120, 0.4
14000, 12, 17120, 0.5
14000, 12, 17120, 0.6
14000, 13, 16148, 0.4
14000, 13, 16148, 0.5
14000, 13, 16148, 0.6
14000, 14, 31032, 0.4
14000, 14, 31032, 0.5
14000, 14, 31032, 0.6
14000, 15, 29508, 0.4
14000, 15, 29508, 0.5
14000, 15, 29508, 0.6
14000, 16, 9259, 0.4
14000, 16, 9259, 0.5
14000, 16, 9259, 0.6
14000, 17, 13932, 0.4
14000, 17, 13932, 0.5
14000, 17, 13932, 0.6
14000, 18, 16627, 0.4
14000, 18, 16627, 0.5
14000, 18, 16627, 0.6
14000, 19, 21134, 0.4
14000, 19, 21134, 0.5
14000, 19, 21134, 0.6
14000, 20, 4342, 0.4
14000, 20, 4342, 0.5
14000, 20, 4342, 0.6
14000, 21, 17952, 0.4
14000, 21, 17952, 0.5
14000, 21, 17952, 0.6
14000, 22, 1354, 0.4
14000, 22, 1354, 0.5
14000, 22, 1354, 0.6
14000, 23, 5994, 0.4
14000, 23, 5994, 0.5
14000, 23, 5994, 0.6
14000, 24, 20732, 0.4
14000, 24, 20732, 0.5
14000, 24, 20732, 0.6
14000, 25, 6038, 0.4
14000, 25, 6038, 0.5
14000, 25, 6038, 0.6
14000, 26, 20931, 0.4
14000, 26, 20931, 0.5
14000, 26, 20931, 0.6
14000, 27, 13264, 0.4
14000, 27, 13264, 0.5
14000, 27, 13264, 0.6
14000, 28, 26860, 0.4
14000, 28, 26860, 0.5
14000, 28, 26860, 0.6
14000, 29, 32329, 0.4
14000, 29, 32329, 0.5
14000, 29, 32329, 0.6
14000, 30, 2625, 0.4
14000, 30, 2625, 0.5
14000, 30, 2625, 0.6
14000, 31, 21376, 0.4
14000, 31, 21376, 0.5
14000, 31, 21376, 0.6
14000, 32, 18092, 0.4
14000, 32, 18092, 0.5
14000, 32, 18092, 0.6
14000, 33, 7192, 0.4
14000, 33, 7192, 0.5
14000, 33, 7192, 0.6
14000, 34, 3109, 0.4
14000, 34, 3109, 0.5
14000, 34, 3109, 0.6
14000, 35, 2250, 0.4
14000, 35, 2250, 0.5
14000, 35, 2250, 0.6
14000, 36, 15132, 0.4
14000, 36, 15132, 0.5
14000, 36, 15132, 0.6
14000, 37, 21605, 0.4
14000, 37, 21605, 0.5
14000, 37, 21605, 0.6
