eCM, nPile, seed, R
7000, 2, 29248, 0.4
7000, 2, 29248, 0.5
7000, 2, 29248, 0.6
7000, 3, 29063, 0.4
7000, 3, 29063, 0.5
7000, 3, 29063, 0.6
7000, 4, 8132, 0.4
7000, 4, 8132, 0.5
7000, 4, 8132, 0.6
7000, 5, 16721, 0.4
7000, 5, 16721, 0.5
7000, 5, 16721, 0.6
7000, 6, 1663, 0.4
7000, 6, 1663, 0.5
7000, 6, 1663, 0.6
7000, 7, 11591, 0.4
7000, 7, 11591, 0.5
7000, 7, 11591, 0.6
7000, 8, 24662, 0.4
7000, 8, 24662, 0.5
7000, 8, 24662, 0.6
7000, 9, 22236, 0.4
7000, 9, 22236, 0.5
7000, 9, 22236, 0.6
7000, 10, 9868, 0.4
7000, 10, 9868, 0.5
7000, 10, 9868, 0.6
7000, 11, 28826, 0.4
7000, 11, 28826, 0.5
7000, 11, 28826, 0.6
7000, 12, 11399, 0.4
7000, 12, 11399, 0.5
7000, 12, 11399, 0.6
7000, 13, 3793, 0.4
7000, 13, 3793, 0.5
7000, 13, 3793, 0.6
7000, 14, 28234, 0.4
7000, 14, 28234, 0.5
7000, 14, 28234, 0.6
7000, 15, 28271, 0.4
7000, 15, 28271, 0.5
7000, 15, 28271, 0.6
7000, 16, 24995, 0.4
7000, 16, 24995, 0.5
7000, 16, 24995, 0.6
7000, 17, 19776, 0.4
7000, 17, 19776, 0.5
7000, 17, 19776, 0.6
7000, 18, 24293, 0.4
7000, 18, 24293, 0.5
7000, 18, 24293, 0.6
7000, 19, 24314, 0.4
7000, 19, 24314, 0.5
7000, 19, 24314, 0.6
7000, 20, 13129, 0.4
7000, 20, 13129, 0.5
7000, 20, 13129, 0.6
7000, 21, 21694, 0.4
7000, 21, 21694, 0.5
7000, 21, 21694, 0.6
7000, 22, 16564, 0.4
7000, 22, 16564, 0.5
7000, 22, 16564, 0.6
7000, 23, 14777, 0.4
7000, 23, 14777, 0.5
7000, 23, 14777, 0.6
7000, 24, 29146, 0.4
7000, 24, 29146, 0.5
7000, 24, 29146, 0.6
7000, 25, 21419, 0.4
7000, 25, 21419, 0.5
7000, 25, 21419, 0.6
7000, 26, 11145, 0.4
7000, 26, 11145, 0.5
7000, 26, 11145, 0.6
7000, 27, 25136, 0.4
7000, 27, 25136, 0.5
7000, 27, 25136, 0.6
7000, 28, 3534, 0.4
7000, 28, 3534, 0.5
7000, 28, 3534, 0.6
7000, 29, 29009, 0.4
7000, 29, 29009, 0.5
7000, 29, 29009, 0.6
7000, 30, 9719, 0.4
7000, 30, 9719, 0.5
7000, 30, 9719, 0.6
7000, 31, 9777, 0.4
7000, 31, 9777, 0.5
7000, 31, 9777, 0.6
7000, 32, 11650, 0.4
