eCM, nPile, seed, R
7000, 2, 21752, 0.4
7000, 2, 21752, 0.5
7000, 2, 21752, 0.6
7000, 3, 10282, 0.4
7000, 3, 10282, 0.5
7000, 3, 10282, 0.6
7000, 4, 9605, 0.4
7000, 4, 9605, 0.5
7000, 4, 9605, 0.6
7000, 5, 4080, 0.4
7000, 5, 4080, 0.5
7000, 5, 4080, 0.6
7000, 6, 31210, 0.4
7000, 6, 31210, 0.5
7000, 6, 31210, 0.6
7000, 7, 12599, 0.4
7000, 7, 12599, 0.5
7000, 7, 12599, 0.6
7000, 8, 13143, 0.4
7000, 8, 13143, 0.5
7000, 8, 13143, 0.6
7000, 9, 29182, 0.4
7000, 9, 29182, 0.5
7000, 9, 29182, 0.6
7000, 10, 8308, 0.4
7000, 10, 8308, 0.5
7000, 10, 8308, 0.6
7000, 11, 27466, 0.4
7000, 11, 27466, 0.5
7000, 11, 27466, 0.6
7000, 12, 6438, 0.4
7000, 12, 6438, 0.5
7000, 12, 6438, 0.6
7000, 13, 10963, 0.4
7000, 13, 10963, 0.5
7000, 13, 10963, 0.6
7000, 14, 14849, 0.4
7000, 14, 14849, 0.5
7000, 14, 14849, 0.6
7000, 15, 22680, 0.4
7000, 15, 22680, 0.5
7000, 15, 22680, 0.6
7000, 16, 913, 0.4
7000, 16, 913, 0.5
7000, 16, 913, 0.6
7000, 17, 16973, 0.4
7000, 17, 16973, 0.5
7000, 17, 16973, 0.6
7000, 18, 30700, 0.4
7000, 18, 30700, 0.5
7000, 18, 30700, 0.6
7000, 19, 1169, 0.4
7000, 19, 1169, 0.5
7000, 19, 1169, 0.6
7000, 20, 994, 0.4
7000, 20, 994, 0.5
7000, 20, 994, 0.6
7000, 21, 18696, 0.4
7000, 21, 18696, 0.5
7000, 21, 18696, 0.6
7000, 22, 32471, 0.4
7000, 22, 32471, 0.5
7000, 22, 32471, 0.6
7000, 23, 631, 0.4
7000, 23, 631, 0.5
7000, 23, 631, 0.6
7000, 24, 5482, 0.4
7000, 24, 5482, 0.5
7000, 24, 5482, 0.6
7000, 25, 9635, 0.4
7000, 25, 9635, 0.5
7000, 25, 9635, 0.6
7000, 26, 5805, 0.4
7000, 26, 5805, 0.5
7000, 26, 5805, 0.6
7000, 27, 28470, 0.4
7000, 27, 28470, 0.5
7000, 27, 28470, 0.6
7000, 28, 32466, 0.4
7000, 28, 32466, 0.5
7000, 28, 32466, 0.6
7000, 29, 21826, 0.4
7000, 29, 21826, 0.5
7000, 29, 21826, 0.6
7000, 30, 14335, 0.4
7000, 30, 14335, 0.5
7000, 30, 14335, 0.6
7000, 31, 30494, 0.4
7000, 31, 30494, 0.5
7000, 31, 30494, 0.6
7000, 32, 30300, 0.4
7000, 32, 30300, 0.5
7000, 32, 30300, 0.6
7000, 33, 22218, 0.4
7000, 33, 22218, 0.5
7000, 33, 22218, 0.6
7000, 34, 3091, 0.4
7000, 34, 3091, 0.5
7000, 34, 3091, 0.6
7000, 35, 21864, 0.4
7000, 35, 21864, 0.5
7000, 35, 21864, 0.6
7000, 36, 27044, 0.4
7000, 36, 27044, 0.5
7000, 36, 27044, 0.6
7000, 37, 17094, 0.4
7000, 37, 17094, 0.5
7000, 37, 17094, 0.6
7000, 38, 30877, 0.4
7000, 38, 30877, 0.5
7000, 38, 30877, 0.6
7000, 39, 11186, 0.4
7000, 39, 11186, 0.5
7000, 39, 11186, 0.6
7000, 40, 4420, 0.4
7000, 40, 4420, 0.5
7000, 40, 4420, 0.6
7000, 41, 21453, 0.4
7000, 41, 21453, 0.5
7000, 41, 21453, 0.6
7000, 42, 31447, 0.4
7000, 42, 31447, 0.5
7000, 42, 31447, 0.6
7000, 43, 3438, 0.4
7000, 43, 3438, 0.5
7000, 43, 3438, 0.6
7000, 44, 30335, 0.4
7000, 44, 30335, 0.5
7000, 44, 30335, 0.6
7000, 45, 16835, 0.4
7000, 45, 16835, 0.5
7000, 45, 16835, 0.6
7000, 46, 16576, 0.4
7000, 46, 16576, 0.5
7000, 46, 16576, 0.6
7000, 47, 9966, 0.4
7000, 47, 9966, 0.5
7000, 47, 9966, 0.6
7000, 48, 12139, 0.4
7000, 48, 12139, 0.5
7000, 48, 12139, 0.6
7000, 49, 24970, 0.4
7000, 49, 24970, 0.5
7000, 49, 24970, 0.6
7000, 50, 19686, 0.4
7000, 50, 19686, 0.5
7000, 50, 19686, 0.6
14000, 2, 23875, 0.4
14000, 2, 23875, 0.5
14000, 2, 23875, 0.6
14000, 3, 9965, 0.4
14000, 3, 9965, 0.5
14000, 3, 9965, 0.6
14000, 4, 20082, 0.4
14000, 4, 20082, 0.5
14000, 4, 20082, 0.6
14000, 5, 21006, 0.4
14000, 5, 21006, 0.5
14000, 5, 21006, 0.6
14000, 6, 16200, 0.4
14000, 6, 16200, 0.5
14000, 6, 16200, 0.6
14000, 7, 15681, 0.4
14000, 7, 15681, 0.5
14000, 7, 15681, 0.6
14000, 8, 12124, 0.4
14000, 8, 12124, 0.5
14000, 8, 12124, 0.6
14000, 9, 30333, 0.4
14000, 9, 30333, 0.5
14000, 9, 30333, 0.6
14000, 10, 20582, 0.4
14000, 10, 20582, 0.5
14000, 10, 20582, 0.6
14000, 11, 1050, 0.4
14000, 11, 1050, 0.5
14000, 11, 1050, 0.6
14000, 12, 7467, 0.4
14000, 12, 7467, 0.5
14000, 12, 7467, 0.6
14000, 13, 7480, 0.4
14000, 13, 7480, 0.5
14000, 13, 7480, 0.6
14000, 14, 5164, 0.4
