eCM, nPile, seed, R
7000, 2, 2458, 0.4
7000, 2, 2458, 0.5
7000, 2, 2458, 0.6
7000, 3, 1750, 0.4
7000, 3, 1750, 0.5
7000, 3, 1750, 0.6
7000, 4, 8958, 0.4
7000, 4, 8958, 0.5
7000, 4, 8958, 0.6
7000, 5, 5771, 0.4
7000, 5, 5771, 0.5
7000, 5, 5771, 0.6
7000, 6, 10337, 0.4
7000, 6, 10337, 0.5
7000, 6, 10337, 0.6
7000, 7, 6540, 0.4
7000, 7, 6540, 0.5
7000, 7, 6540, 0.6
7000, 8, 24838, 0.4
7000, 8, 24838, 0.5
7000, 8, 24838, 0.6
7000, 9, 2352, 0.4
7000, 9, 2352, 0.5
7000, 9, 2352, 0.6
7000, 10, 28398, 0.4
7000, 10, 28398, 0.5
7000, 10, 28398, 0.6
7000, 11, 28695, 0.4
7000, 11, 28695, 0.5
7000, 11, 28695, 0.6
7000, 12, 18562, 0.4
7000, 12, 18562, 0.5
7000, 12, 18562, 0.6
7000, 13, 208, 0.4
7000, 13, 208, 0.5
7000, 13, 208, 0.6
7000, 14, 11954, 0.4
7000, 14, 11954, 0.5
7000, 14, 11954, 0.6
7000, 15, 32580, 0.4
7000, 15, 32580, 0.5
7000, 15, 32580, 0.6
7000, 16, 3937, 0.4
7000, 16, 3937, 0.5
7000, 16, 3937, 0.6
7000, 17, 29273, 0.4
7000, 17, 29273, 0.5
7000, 17, 29273, 0.6
7000, 18, 1734, 0.4
7000, 18, 1734, 0.5
7000, 18, 1734, 0.6
7000, 19, 251, 0.4
7000, 19, 251, 0.5
7000, 19, 251, 0.6
7000, 20, 3919, 0.4
7000, 20, 3919, 0.5
7000, 20, 3919, 0.6
7000, 21, 26925, 0.4
7000, 21, 26925, 0.5
7000, 21, 26925, 0.6
7000, 22, 12011, 0.4
7000, 22, 12011, 0.5
7000, 22, 12011, 0.6
7000, 23, 1095, 0.4
7000, 23, 1095, 0.5
7000, 23, 1095, 0.6
7000, 24, 31282, 0.4
7000, 24, 31282, 0.5
7000, 24, 31282, 0.6
7000, 25, 8511, 0.4
7000, 25, 8511, 0.5
7000, 25, 8511, 0.6
7000, 26, 1683, 0.4
7000, 26, 1683, 0.5
7000, 26, 1683, 0.6
7000, 27, 26837, 0.4
7000, 27, 26837, 0.5
7000, 27, 26837, 0.6
7000, 28, 10506, 0.4
7000, 28, 10506, 0.5
7000, 28, 10506, 0.6
7000, 29, 8117, 0.4
7000, 29, 8117, 0.5
7000, 29, 8117, 0.6
7000, 30, 20510, 0.4
7000, 30, 20510, 0.5
7000, 30, 20510, 0.6
7000, 31, 1358, 0.4
7000, 31, 1358, 0.5
7000, 31, 1358, 0.6
7000, 32, 31906, 0.4
7000, 32, 31906, 0.5
7000, 32, 31906, 0.6
7000, 33, 6180, 0.4
7000, 33, 6180, 0.5
7000, 33, 6180, 0.6
7000, 34, 16543, 0.4
7000, 34, 16543, 0.5
7000, 34, 16543, 0.6
7000, 35, 24622, 0.4
7000, 35, 24622, 0.5
7000, 35, 24622, 0.6
7000, 36, 15555, 0.4
7000, 36, 15555, 0.5
7000, 36, 15555, 0.6
7000, 37, 17301, 0.4
7000, 37, 17301, 0.5
7000, 37, 17301, 0.6
7000, 38, 13316, 0.4
7000, 38, 13316, 0.5
7000, 38, 13316, 0.6
7000, 39, 4999, 0.4
7000, 39, 4999, 0.5
7000, 39, 4999, 0.6
7000, 40, 16412, 0.4
7000, 40, 16412, 0.5
7000, 40, 16412, 0.6
7000, 41, 14344, 0.4
7000, 41, 14344, 0.5
7000, 41, 14344, 0.6
7000, 42, 15739, 0.4
7000, 42, 15739, 0.5
7000, 42, 15739, 0.6
7000, 43, 10264, 0.4
7000, 43, 10264, 0.5
7000, 43, 10264, 0.6
7000, 44, 24327, 0.4
7000, 44, 24327, 0.5
7000, 44, 24327, 0.6
7000, 45, 331, 0.4
7000, 45, 331, 0.5
7000, 45, 331, 0.6
7000, 46, 12335, 0.4
7000, 46, 12335, 0.5
7000, 46, 12335, 0.6
7000, 47, 8026, 0.4
7000, 47, 8026, 0.5
7000, 47, 8026, 0.6
7000, 48, 5131, 0.4
7000, 48, 5131, 0.5
7000, 48, 5131, 0.6
7000, 49, 2739, 0.4
7000, 49, 2739, 0.5
7000, 49, 2739, 0.6
7000, 50, 14358, 0.4
7000, 50, 14358, 0.5
7000, 50, 14358, 0.6
14000, 2, 29323, 0.4
14000, 2, 29323, 0.5
14000, 2, 29323, 0.6
14000, 3, 14792, 0.4
14000, 3, 14792, 0.5
14000, 3, 14792, 0.6
14000, 4, 11696, 0.4
14000, 4, 11696, 0.5
14000, 4, 11696, 0.6
14000, 5, 16824, 0.4
14000, 5, 16824, 0.5
14000, 5, 16824, 0.6
14000, 6, 28477, 0.4
14000, 6, 28477, 0.5
14000, 6, 28477, 0.6
14000, 7, 19003, 0.4
14000, 7, 19003, 0.5
14000, 7, 19003, 0.6
14000, 8, 7800, 0.4
