eCM, nPile, seed, R
7000, 2, 27911, 0.4
7000, 2, 27911, 0.5
7000, 2, 27911, 0.6
7000, 3, 9586, 0.4
7000, 3, 9586, 0.5
7000, 3, 9586, 0.6
7000, 4, 9613, 0.4
7000, 4, 9613, 0.5
7000, 4, 9613, 0.6
7000, 5, 3349, 0.4
7000, 5, 3349, 0.5
7000, 5, 3349, 0.6
7000, 6, 32145, 0.4
7000, 6, 32145, 0.5
7000, 6, 32145, 0.6
7000, 7, 24400, 0.4
7000, 7, 24400, 0.5
7000, 7, 24400, 0.6
7000, 8, 21675, 0.4
7000, 8, 21675, 0.5
7000, 8, 21675, 0.6
7000, 9, 18902, 0.4
7000, 9, 18902, 0.5
7000, 9, 18902, 0.6
7000, 10, 16657, 0.4
7000, 10, 16657, 0.5
7000, 10, 16657, 0.6
7000, 11, 29099, 0.4
7000, 11, 29099, 0.5
7000, 11, 29099, 0.6
7000, 12, 24834, 0.4
7000, 12, 24834, 0.5
7000, 12, 24834, 0.6
7000, 13, 9780, 0.4
7000, 13, 9780, 0.5
7000, 13, 9780, 0.6
7000, 14, 20971, 0.4
7000, 14, 20971, 0.5
7000, 14, 20971, 0.6
7000, 15, 18186, 0.4
7000, 15, 18186, 0.5
7000, 15, 18186, 0.6
7000, 16, 7983, 0.4
7000, 16, 7983, 0.5
7000, 16, 7983, 0.6
7000, 17, 243, 0.4
7000, 17, 243, 0.5
7000, 17, 243, 0.6
7000, 18, 30655, 0.4
7000, 18, 30655, 0.5
7000, 18, 30655, 0.6
7000, 19, 15859, 0.4
7000, 19, 15859, 0.5
7000, 19, 15859, 0.6
7000, 20, 30016, 0.4
7000, 20, 30016, 0.5
7000, 20, 30016, 0.6
7000, 21, 28699, 0.4
7000, 21, 28699, 0.5
7000, 21, 28699, 0.6
7000, 22, 17448, 0.4
7000, 22, 17448, 0.5
7000, 22, 17448, 0.6
7000, 23, 31340, 0.4
7000, 23, 31340, 0.5
7000, 23, 31340, 0.6
7000, 24, 6546, 0.4
7000, 24, 6546, 0.5
7000, 24, 6546, 0.6
7000, 25, 6575, 0.4
7000, 25, 6575, 0.5
7000, 25, 6575, 0.6
7000, 26, 29951, 0.4
7000, 26, 29951, 0.5
7000, 26, 29951, 0.6
7000, 27, 17556, 0.4
7000, 27, 17556, 0.5
7000, 27, 17556, 0.6
7000, 28, 29352, 0.4
7000, 28, 29352, 0.5
7000, 28, 29352, 0.6
7000, 29, 7171, 0.4
7000, 29, 7171, 0.5
7000, 29, 7171, 0.6
7000, 30, 25338, 0.4
7000, 30, 25338, 0.5
7000, 30, 25338, 0.6
7000, 31, 11488, 0.4
7000, 31, 11488, 0.5
7000, 31, 11488, 0.6
7000, 32, 194, 0.4
7000, 32, 194, 0.5
7000, 32, 194, 0.6
7000, 33, 759, 0.4
7000, 33, 759, 0.5
7000, 33, 759, 0.6
7000, 34, 19806, 0.4
7000, 34, 19806, 0.5
7000, 34, 19806, 0.6
7000, 35, 31024, 0.4
7000, 35, 31024, 0.5
7000, 35, 31024, 0.6
7000, 36, 28882, 0.4
7000, 36, 28882, 0.5
7000, 36, 28882, 0.6
7000, 37, 5114, 0.4
7000, 37, 5114, 0.5
7000, 37, 5114, 0.6
7000, 38, 13161, 0.4
7000, 38, 13161, 0.5
7000, 38, 13161, 0.6
7000, 39, 2312, 0.4
7000, 39, 2312, 0.5
7000, 39, 2312, 0.6
7000, 40, 18168, 0.4
7000, 40, 18168, 0.5
7000, 40, 18168, 0.6
7000, 41, 4775, 0.4
7000, 41, 4775, 0.5
7000, 41, 4775, 0.6
7000, 42, 17626, 0.4
7000, 42, 17626, 0.5
7000, 42, 17626, 0.6
7000, 43, 30403, 0.4
7000, 43, 30403, 0.5
7000, 43, 30403, 0.6
7000, 44, 12532, 0.4
7000, 44, 12532, 0.5
7000, 44, 12532, 0.6
7000, 45, 1673, 0.4
7000, 45, 1673, 0.5
7000, 45, 1673, 0.6
7000, 46, 27146, 0.4
7000, 46, 27146, 0.5
7000, 46, 27146, 0.6
7000, 47, 22006, 0.4
7000, 47, 22006, 0.5
7000, 47, 22006, 0.6
7000, 48, 14639, 0.4
7000, 48, 14639, 0.5
7000, 48, 14639, 0.6
7000, 49, 28360, 0.4
7000, 49, 28360, 0.5
7000, 49, 28360, 0.6
7000, 50, 20293, 0.4
7000, 50, 20293, 0.5
7000, 50, 20293, 0.6
14000, 2, 689, 0.4
14000, 2, 689, 0.5
14000, 2, 689, 0.6
14000, 3, 20465, 0.4
14000, 3, 20465, 0.5
14000, 3, 20465, 0.6
14000, 4, 8906, 0.4
14000, 4, 8906, 0.5
14000, 4, 8906, 0.6
14000, 5, 8083, 0.4
14000, 5, 8083, 0.5
14000, 5, 8083, 0.6
14000, 6, 10921, 0.4
14000, 6, 10921, 0.5
14000, 6, 10921, 0.6
14000, 7, 27075, 0.4
14000, 7, 27075, 0.5
14000, 7, 27075, 0.6
14000, 8, 10607, 0.4
14000, 8, 10607, 0.5
14000, 8, 10607, 0.6
14000, 9, 4195, 0.4
14000, 9, 4195, 0.5
14000, 9, 4195, 0.6
14000, 10, 5889, 0.4
14000, 10, 5889, 0.5
14000, 10, 5889, 0.6
14000, 11, 32264, 0.4
14000, 11, 32264, 0.5
14000, 11, 32264, 0.6
14000, 12, 26072, 0.4
14000, 12, 26072, 0.5
14000, 12, 26072, 0.6
14000, 13, 28006, 0.4
14000, 13, 28006, 0.5
14000, 13, 28006, 0.6
14000, 14, 29543, 0.4
14000, 14, 29543, 0.5
14000, 14, 29543, 0.6
14000, 15, 13743, 0.4
14000, 15, 13743, 0.5
14000, 15, 13743, 0.6
14000, 16, 20368, 0.4
14000, 16, 20368, 0.5
14000, 16, 20368, 0.6
14000, 17, 9945, 0.4
14000, 17, 9945, 0.5
14000, 17, 9945, 0.6
14000, 18, 9675, 0.4
14000, 18, 9675, 0.5
14000, 18, 9675, 0.6
14000, 19, 1952, 0.4
14000, 19, 1952, 0.5
14000, 19, 1952, 0.6
14000, 20, 14486, 0.4
14000, 20, 14486, 0.5
14000, 20, 14486, 0.6
14000, 21, 13865, 0.4
14000, 21, 13865, 0.5
14000, 21, 13865, 0.6
14000, 22, 32546, 0.4
14000, 22, 32546, 0.5
14000, 22, 32546, 0.6
14000, 23, 27550, 0.4
14000, 23, 27550, 0.5
14000, 23, 27550, 0.6
14000, 24, 7868, 0.4
14000, 24, 7868, 0.5
14000, 24, 7868, 0.6
14000, 25, 29070, 0.4
14000, 25, 29070, 0.5
14000, 25, 29070, 0.6
14000, 26, 32214, 0.4
14000, 26, 32214, 0.5
14000, 26, 32214, 0.6
14000, 27, 7754, 0.4
14000, 27, 7754, 0.5
14000, 27, 7754, 0.6
14000, 28, 17492, 0.4
14000, 28, 17492, 0.5
14000, 28, 17492, 0.6
14000, 29, 9404, 0.4
14000, 29, 9404, 0.5
14000, 29, 9404, 0.6
14000, 30, 32741, 0.4
14000, 30, 32741, 0.5
14000, 30, 32741, 0.6
14000, 31, 26850, 0.4
14000, 31, 26850, 0.5
14000, 31, 26850, 0.6
14000, 32, 884, 0.4
14000, 32, 884, 0.5
14000, 32, 884, 0.6
14000, 33, 1887, 0.4
14000, 33, 1887, 0.5
14000, 33, 1887, 0.6
14000, 34, 17605, 0.4
14000, 34, 17605, 0.5
14000, 34, 17605, 0.6
14000, 35, 4225, 0.4
14000, 35, 4225, 0.5
14000, 35, 4225, 0.6
14000, 36, 16058, 0.4
14000, 36, 16058, 0.5
14000, 36, 16058, 0.6
14000, 37, 25646, 0.4
14000, 37, 25646, 0.5
14000, 37, 25646, 0.6
14000, 38, 23173, 0.4
14000, 38, 23173, 0.5
14000, 38, 23173, 0.6
14000, 39, 5742, 0.4
14000, 39, 5742, 0.5
14000, 39, 5742, 0.6
14000, 40, 26535, 0.4
14000, 40, 26535, 0.5
14000, 40, 26535, 0.6
14000, 41, 10737, 0.4
14000, 41, 10737, 0.5
14000, 41, 10737, 0.6
14000, 42, 21366, 0.4
14000, 42, 21366, 0.5
14000, 42, 21366, 0.6
14000, 43, 13299, 0.4
14000, 43, 13299, 0.5
14000, 43, 13299, 0.6
14000, 44, 29137, 0.4
14000, 44, 29137, 0.5
14000, 44, 29137, 0.6
14000, 45, 1220, 0.4
14000, 45, 1220, 0.5
14000, 45, 1220, 0.6
14000, 46, 12490, 0.4
14000, 46, 12490, 0.5
14000, 46, 12490, 0.6
14000, 47, 22970, 0.4
14000, 47, 22970, 0.5
14000, 47, 22970, 0.6
14000, 48, 31181, 0.4
14000, 48, 31181, 0.5
14000, 48, 31181, 0.6
14000, 49, 17432, 0.4
14000, 49, 17432, 0.5
14000, 49, 17432, 0.6
14000, 50, 18470, 0.4
14000, 50, 18470, 0.5
14000, 50, 18470, 0.6
