eCM, nPile, seed, R
7000, 2, 4965, 0.4
7000, 2, 4965, 0.5
7000, 2, 4965, 0.6
7000, 3, 6720, 0.4
7000, 3, 6720, 0.5
7000, 3, 6720, 0.6
7000, 4, 11284, 0.4
7000, 4, 11284, 0.5
7000, 4, 11284, 0.6
7000, 5, 2524, 0.4
7000, 5, 2524, 0.5
7000, 5, 2524, 0.6
7000, 6, 28681, 0.4
7000, 6, 28681, 0.5
7000, 6, 28681, 0.6
7000, 7, 8022, 0.4
7000, 7, 8022, 0.5
7000, 7, 8022, 0.6
7000, 8, 7265, 0.4
7000, 8, 7265, 0.5
7000, 8, 7265, 0.6
7000, 9, 25738, 0.4
7000, 9, 25738, 0.5
7000, 9, 25738, 0.6
7000, 10, 21889, 0.4
7000, 10, 21889, 0.5
7000, 10, 21889, 0.6
7000, 11, 18830, 0.4
7000, 11, 18830, 0.5
7000, 11, 18830, 0.6
7000, 12, 19789, 0.4
7000, 12, 19789, 0.5
7000, 12, 19789, 0.6
7000, 13, 12814, 0.4
7000, 13, 12814, 0.5
7000, 13, 12814, 0.6
7000, 14, 31301, 0.4
7000, 14, 31301, 0.5
7000, 14, 31301, 0.6
7000, 15, 7153, 0.4
7000, 15, 7153, 0.5
7000, 15, 7153, 0.6
7000, 16, 6727, 0.4
7000, 16, 6727, 0.5
7000, 16, 6727, 0.6
7000, 17, 23643, 0.4
7000, 17, 23643, 0.5
7000, 17, 23643, 0.6
7000, 18, 11226, 0.4
7000, 18, 11226, 0.5
7000, 18, 11226, 0.6
7000, 19, 12933, 0.4
7000, 19, 12933, 0.5
7000, 19, 12933, 0.6
7000, 20, 24222, 0.4
7000, 20, 24222, 0.5
7000, 20, 24222, 0.6
7000, 21, 6902, 0.4
7000, 21, 6902, 0.5
7000, 21, 6902, 0.6
7000, 22, 17066, 0.4
7000, 22, 17066, 0.5
7000, 22, 17066, 0.6
7000, 23, 1031, 0.4
7000, 23, 1031, 0.5
7000, 23, 1031, 0.6
7000, 24, 17210, 0.4
7000, 24, 17210, 0.5
7000, 24, 17210, 0.6
7000, 25, 27325, 0.4
7000, 25, 27325, 0.5
7000, 25, 27325, 0.6
7000, 26, 17258, 0.4
7000, 26, 17258, 0.5
7000, 26, 17258, 0.6
7000, 27, 2858, 0.4
7000, 27, 2858, 0.5
7000, 27, 2858, 0.6
7000, 28, 4432, 0.4
7000, 28, 4432, 0.5
7000, 28, 4432, 0.6
7000, 29, 18176, 0.4
7000, 29, 18176, 0.5
7000, 29, 18176, 0.6
7000, 30, 1201, 0.4
7000, 30, 1201, 0.5
7000, 30, 1201, 0.6
7000, 31, 24023, 0.4
7000, 31, 24023, 0.5
7000, 31, 24023, 0.6
7000, 32, 29956, 0.4
7000, 32, 29956, 0.5
7000, 32, 29956, 0.6
7000, 33, 13873, 0.4
7000, 33, 13873, 0.5
7000, 33, 13873, 0.6
7000, 34, 2558, 0.4
7000, 34, 2558, 0.5
7000, 34, 2558, 0.6
7000, 35, 11748, 0.4
7000, 35, 11748, 0.5
7000, 35, 11748, 0.6
7000, 36, 10680, 0.4
7000, 36, 10680, 0.5
7000, 36, 10680, 0.6
7000, 37, 4932, 0.4
7000, 37, 4932, 0.5
7000, 37, 4932, 0.6
7000, 38, 6138, 0.4
7000, 38, 6138, 0.5
7000, 38, 6138, 0.6
7000, 39, 19816, 0.4
7000, 39, 19816, 0.5
7000, 39, 19816, 0.6
7000, 40, 17379, 0.4
7000, 40, 17379, 0.5
