eCM, nPile, seed, R
7000, 2, 11169, 0.4
7000, 2, 11169, 0.5
7000, 2, 11169, 0.6
7000, 3, 8554, 0.4
7000, 3, 8554, 0.5
7000, 3, 8554, 0.6
7000, 4, 32130, 0.4
7000, 4, 32130, 0.5
7000, 4, 32130, 0.6
7000, 5, 5793, 0.4
7000, 5, 5793, 0.5
7000, 5, 5793, 0.6
7000, 6, 22872, 0.4
7000, 6, 22872, 0.5
7000, 6, 22872, 0.6
7000, 7, 21432, 0.4
7000, 7, 21432, 0.5
7000, 7, 21432, 0.6
7000, 8, 1603, 0.4
7000, 8, 1603, 0.5
7000, 8, 1603, 0.6
7000, 9, 15901, 0.4
7000, 9, 15901, 0.5
7000, 9, 15901, 0.6
7000, 10, 408, 0.4
7000, 10, 408, 0.5
7000, 10, 408, 0.6
7000, 11, 20085, 0.4
7000, 11, 20085, 0.5
7000, 11, 20085, 0.6
7000, 12, 16501, 0.4
7000, 12, 16501, 0.5
7000, 12, 16501, 0.6
7000, 13, 32399, 0.4
7000, 13, 32399, 0.5
7000, 13, 32399, 0.6
7000, 14, 6184, 0.4
7000, 14, 6184, 0.5
7000, 14, 6184, 0.6
7000, 15, 12682, 0.4
7000, 15, 12682, 0.5
7000, 15, 12682, 0.6
7000, 16, 13291, 0.4
7000, 16, 13291, 0.5
7000, 16, 13291, 0.6
7000, 17, 24714, 0.4
7000, 17, 24714, 0.5
7000, 17, 24714, 0.6
7000, 18, 24801, 0.4
7000, 18, 24801, 0.5
7000, 18, 24801, 0.6
7000, 19, 4327, 0.4
7000, 19, 4327, 0.5
7000, 19, 4327, 0.6
7000, 20, 28385, 0.4
7000, 20, 28385, 0.5
7000, 20, 28385, 0.6
7000, 21, 10081, 0.4
7000, 21, 10081, 0.5
7000, 21, 10081, 0.6
7000, 22, 9580, 0.4
7000, 22, 9580, 0.5
7000, 22, 9580, 0.6
7000, 23, 4989, 0.4
7000, 23, 4989, 0.5
7000, 23, 4989, 0.6
7000, 24, 17775, 0.4
7000, 24, 17775, 0.5
7000, 24, 17775, 0.6
7000, 25, 17712, 0.4
7000, 25, 17712, 0.5
7000, 25, 17712, 0.6
7000, 26, 31878, 0.4
7000, 26, 31878, 0.5
7000, 26, 31878, 0.6
7000, 27, 2080, 0.4
7000, 27, 2080, 0.5
7000, 27, 2080, 0.6
7000, 28, 17248, 0.4
7000, 28, 17248, 0.5
7000, 28, 17248, 0.6
7000, 29, 6509, 0.4
7000, 29, 6509, 0.5
7000, 29, 6509, 0.6
7000, 30, 6973, 0.4
7000, 30, 6973, 0.5
7000, 30, 6973, 0.6
7000, 31, 27024, 0.4
7000, 31, 27024, 0.5
7000, 31, 27024, 0.6
7000, 32, 7843, 0.4
7000, 32, 7843, 0.5
7000, 32, 7843, 0.6
7000, 33, 15227, 0.4
7000, 33, 15227, 0.5
7000, 33, 15227, 0.6
7000, 34, 10272, 0.4
7000, 34, 10272, 0.5
7000, 34, 10272, 0.6
7000, 35, 4356, 0.4
7000, 35, 4356, 0.5
7000, 35, 4356, 0.6
