eCM, nPile, seed, R
7000, 2, 5640, 0.4
7000, 2, 5640, 0.5
7000, 2, 5640, 0.6
7000, 3, 9311, 0.4
7000, 3, 9311, 0.5
7000, 3, 9311, 0.6
7000, 4, 2904, 0.4
7000, 4, 2904, 0.5
7000, 4, 2904, 0.6
7000, 5, 25665, 0.4
7000, 5, 25665, 0.5
7000, 5, 25665, 0.6
7000, 6, 16534, 0.4
7000, 6, 16534, 0.5
7000, 6, 16534, 0.6
7000, 7, 31657, 0.4
7000, 7, 31657, 0.5
7000, 7, 31657, 0.6
7000, 8, 26173, 0.4
7000, 8, 26173, 0.5
7000, 8, 26173, 0.6
7000, 9, 24360, 0.4
7000, 9, 24360, 0.5
7000, 9, 24360, 0.6
7000, 10, 3984, 0.4
7000, 10, 3984, 0.5
7000, 10, 3984, 0.6
7000, 11, 4899, 0.4
7000, 11, 4899, 0.5
7000, 11, 4899, 0.6
7000, 12, 13426, 0.4
7000, 12, 13426, 0.5
7000, 12, 13426, 0.6
7000, 13, 24899, 0.4
7000, 13, 24899, 0.5
7000, 13, 24899, 0.6
7000, 14, 16745, 0.4
7000, 14, 16745, 0.5
7000, 14, 16745, 0.6
7000, 15, 12931, 0.4
7000, 15, 12931, 0.5
7000, 15, 12931, 0.6
7000, 16, 23798, 0.4
7000, 16, 23798, 0.5
7000, 16, 23798, 0.6
7000, 17, 26243, 0.4
7000, 17, 26243, 0.5
7000, 17, 26243, 0.6
7000, 18, 17904, 0.4
7000, 18, 17904, 0.5
7000, 18, 17904, 0.6
7000, 19, 25543, 0.4
7000, 19, 25543, 0.5
7000, 19, 25543, 0.6
7000, 20, 19423, 0.4
7000, 20, 19423, 0.5
7000, 20, 19423, 0.6
7000, 21, 26943, 0.4
7000, 21, 26943, 0.5
7000, 21, 26943, 0.6
7000, 22, 23926, 0.4
7000, 22, 23926, 0.5
7000, 22, 23926, 0.6
7000, 23, 11218, 0.4
7000, 23, 11218, 0.5
7000, 23, 11218, 0.6
7000, 24, 16994, 0.4
7000, 24, 16994, 0.5
7000, 24, 16994, 0.6
7000, 25, 32504, 0.4
7000, 25, 32504, 0.5
7000, 25, 32504, 0.6
7000, 26, 29386, 0.4
7000, 26, 29386, 0.5
7000, 26, 29386, 0.6
7000, 27, 24568, 0.4
7000, 27, 24568, 0.5
7000, 27, 24568, 0.6
7000, 28, 12888, 0.4
7000, 28, 12888, 0.5
7000, 28, 12888, 0.6
7000, 29, 29275, 0.4
7000, 29, 29275, 0.5
7000, 29, 29275, 0.6
7000, 30, 24657, 0.4
7000, 30, 24657, 0.5
7000, 30, 24657, 0.6
7000, 31, 12495, 0.4
7000, 31, 12495, 0.5
7000, 31, 12495, 0.6
7000, 32, 4775, 0.4
7000, 32, 4775, 0.5
7000, 32, 4775, 0.6
7000, 33, 26380, 0.4
7000, 33, 26380, 0.5
7000, 33, 26380, 0.6
7000, 34, 7645, 0.4
7000, 34, 7645, 0.5
7000, 34, 7645, 0.6
7000, 35, 15772, 0.4
7000, 35, 15772, 0.5
7000, 35, 15772, 0.6
7000, 36, 32461, 0.4
7000, 36, 32461, 0.5
7000, 36, 32461, 0.6
7000, 37, 29609, 0.4
7000, 37, 29609, 0.5
7000, 37, 29609, 0.6
7000, 38, 9218, 0.4
7000, 38, 9218, 0.5
7000, 38, 9218, 0.6
7000, 39, 13396, 0.4
7000, 39, 13396, 0.5
7000, 39, 13396, 0.6
7000, 40, 8858, 0.4
7000, 40, 8858, 0.5
7000, 40, 8858, 0.6
7000, 41, 24927, 0.4
7000, 41, 24927, 0.5
7000, 41, 24927, 0.6
7000, 42, 20722, 0.4
7000, 42, 20722, 0.5
7000, 42, 20722, 0.6
7000, 43, 7699, 0.4
7000, 43, 7699, 0.5
7000, 43, 7699, 0.6
7000, 44, 19283, 0.4
7000, 44, 19283, 0.5
7000, 44, 19283, 0.6
7000, 45, 29842, 0.4
7000, 45, 29842, 0.5
7000, 45, 29842, 0.6
7000, 46, 17086, 0.4
7000, 46, 17086, 0.5
7000, 46, 17086, 0.6
7000, 47, 27725, 0.4
7000, 47, 27725, 0.5
7000, 47, 27725, 0.6
7000, 48, 22912, 0.4
7000, 48, 22912, 0.5
7000, 48, 22912, 0.6
7000, 49, 5064, 0.4
7000, 49, 5064, 0.5
7000, 49, 5064, 0.6
7000, 50, 31873, 0.4
7000, 50, 31873, 0.5
7000, 50, 31873, 0.6
14000, 2, 21125, 0.4
14000, 2, 21125, 0.5
14000, 2, 21125, 0.6
14000, 3, 19304, 0.4
14000, 3, 19304, 0.5
14000, 3, 19304, 0.6
14000, 4, 18788, 0.4
14000, 4, 18788, 0.5
14000, 4, 18788, 0.6
14000, 5, 8574, 0.4
14000, 5, 8574, 0.5
14000, 5, 8574, 0.6
14000, 6, 10324, 0.4
14000, 6, 10324, 0.5
14000, 6, 10324, 0.6
14000, 7, 30546, 0.4
14000, 7, 30546, 0.5
14000, 7, 30546, 0.6
14000, 8, 29578, 0.4
14000, 8, 29578, 0.5
14000, 8, 29578, 0.6
14000, 9, 2063, 0.4
14000, 9, 2063, 0.5
14000, 9, 2063, 0.6
14000, 10, 15238, 0.4
14000, 10, 15238, 0.5
14000, 10, 15238, 0.6
14000, 11, 8968, 0.4
14000, 11, 8968, 0.5
14000, 11, 8968, 0.6
14000, 12, 12883, 0.4
14000, 12, 12883, 0.5
14000, 12, 12883, 0.6
14000, 13, 17582, 0.4
14000, 13, 17582, 0.5
14000, 13, 17582, 0.6
14000, 14, 15170, 0.4
14000, 14, 15170, 0.5
14000, 14, 15170, 0.6
14000, 15, 12930, 0.4
14000, 15, 12930, 0.5
14000, 15, 12930, 0.6
14000, 16, 8028, 0.4
14000, 16, 8028, 0.5
14000, 16, 8028, 0.6
14000, 17, 9149, 0.4
14000, 17, 9149, 0.5
14000, 17, 9149, 0.6
14000, 18, 28309, 0.4
14000, 18, 28309, 0.5
14000, 18, 28309, 0.6
14000, 19, 15256, 0.4
14000, 19, 15256, 0.5
14000, 19, 15256, 0.6
14000, 20, 21948, 0.4
14000, 20, 21948, 0.5
14000, 20, 21948, 0.6
14000, 21, 19135, 0.4
14000, 21, 19135, 0.5
14000, 21, 19135, 0.6
14000, 22, 28266, 0.4
14000, 22, 28266, 0.5
14000, 22, 28266, 0.6
14000, 23, 19438, 0.4
14000, 23, 19438, 0.5
14000, 23, 19438, 0.6
14000, 24, 7341, 0.4
14000, 24, 7341, 0.5
14000, 24, 7341, 0.6
14000, 25, 28062, 0.4
14000, 25, 28062, 0.5
14000, 25, 28062, 0.6
14000, 26, 19236, 0.4
14000, 26, 19236, 0.5
14000, 26, 19236, 0.6
14000, 27, 26155, 0.4
14000, 27, 26155, 0.5
14000, 27, 26155, 0.6
14000, 28, 22028, 0.4
14000, 28, 22028, 0.5
14000, 28, 22028, 0.6
14000, 29, 32282, 0.4
14000, 29, 32282, 0.5
14000, 29, 32282, 0.6
14000, 30, 9490, 0.4
14000, 30, 9490, 0.5
14000, 30, 9490, 0.6
14000, 31, 1868, 0.4
14000, 31, 1868, 0.5
14000, 31, 1868, 0.6
14000, 32, 27126, 0.4
14000, 32, 27126, 0.5
14000, 32, 27126, 0.6
14000, 33, 14031, 0.4
14000, 33, 14031, 0.5
14000, 33, 14031, 0.6
14000, 34, 7802, 0.4
14000, 34, 7802, 0.5
14000, 34, 7802, 0.6
14000, 35, 7158, 0.4
14000, 35, 7158, 0.5
14000, 35, 7158, 0.6
14000, 36, 30903, 0.4
14000, 36, 30903, 0.5
14000, 36, 30903, 0.6
14000, 37, 28704, 0.4
14000, 37, 28704, 0.5
14000, 37, 28704, 0.6
14000, 38, 30461, 0.4
14000, 38, 30461, 0.5
14000, 38, 30461, 0.6
14000, 39, 258, 0.4
14000, 39, 258, 0.5
14000, 39, 258, 0.6
14000, 40, 25424, 0.4
14000, 40, 25424, 0.5
14000, 40, 25424, 0.6
14000, 41, 28060, 0.4
14000, 41, 28060, 0.5
14000, 41, 28060, 0.6
14000, 42, 17280, 0.4
14000, 42, 17280, 0.5
14000, 42, 17280, 0.6
14000, 43, 14750, 0.4
