eCM, nPile, seed, R
7000, 2, 6649, 0.4
7000, 2, 6649, 0.5
7000, 2, 6649, 0.6
7000, 3, 29707, 0.4
7000, 3, 29707, 0.5
7000, 3, 29707, 0.6
7000, 4, 21371, 0.4
7000, 4, 21371, 0.5
7000, 4, 21371, 0.6
7000, 5, 26069, 0.4
7000, 5, 26069, 0.5
7000, 5, 26069, 0.6
7000, 6, 20887, 0.4
7000, 6, 20887, 0.5
7000, 6, 20887, 0.6
7000, 7, 18557, 0.4
7000, 7, 18557, 0.5
7000, 7, 18557, 0.6
7000, 8, 20069, 0.4
7000, 8, 20069, 0.5
7000, 8, 20069, 0.6
7000, 9, 27828, 0.4
7000, 9, 27828, 0.5
7000, 9, 27828, 0.6
7000, 10, 31114, 0.4
7000, 10, 31114, 0.5
7000, 10, 31114, 0.6
7000, 11, 4427, 0.4
7000, 11, 4427, 0.5
7000, 11, 4427, 0.6
7000, 12, 3811, 0.4
7000, 12, 3811, 0.5
7000, 12, 3811, 0.6
7000, 13, 8354, 0.4
7000, 13, 8354, 0.5
7000, 13, 8354, 0.6
7000, 14, 3098, 0.4
7000, 14, 3098, 0.5
7000, 14, 3098, 0.6
7000, 15, 11067, 0.4
7000, 15, 11067, 0.5
7000, 15, 11067, 0.6
7000, 16, 32625, 0.4
7000, 16, 32625, 0.5
7000, 16, 32625, 0.6
7000, 17, 12220, 0.4
7000, 17, 12220, 0.5
7000, 17, 12220, 0.6
7000, 18, 6060, 0.4
7000, 18, 6060, 0.5
7000, 18, 6060, 0.6
7000, 19, 29937, 0.4
7000, 19, 29937, 0.5
7000, 19, 29937, 0.6
7000, 20, 7917, 0.4
7000, 20, 7917, 0.5
7000, 20, 7917, 0.6
7000, 21, 6663, 0.4
7000, 21, 6663, 0.5
7000, 21, 6663, 0.6
7000, 22, 2654, 0.4
7000, 22, 2654, 0.5
7000, 22, 2654, 0.6
7000, 23, 22442, 0.4
7000, 23, 22442, 0.5
7000, 23, 22442, 0.6
7000, 24, 13645, 0.4
7000, 24, 13645, 0.5
7000, 24, 13645, 0.6
7000, 25, 30150, 0.4
7000, 25, 30150, 0.5
7000, 25, 30150, 0.6
7000, 26, 20612, 0.4
7000, 26, 20612, 0.5
7000, 26, 20612, 0.6
7000, 27, 13230, 0.4
7000, 27, 13230, 0.5
7000, 27, 13230, 0.6
7000, 28, 13557, 0.4
7000, 28, 13557, 0.5
7000, 28, 13557, 0.6
7000, 29, 27563, 0.4
7000, 29, 27563, 0.5
7000, 29, 27563, 0.6
