eCM, nPile, seed, R
7000, 2, 27726, 0.4
7000, 2, 27726, 0.5
7000, 2, 27726, 0.6
7000, 3, 15690, 0.4
7000, 3, 15690, 0.5
7000, 3, 15690, 0.6
7000, 4, 5236, 0.4
7000, 4, 5236, 0.5
7000, 4, 5236, 0.6
7000, 5, 27567, 0.4
7000, 5, 27567, 0.5
7000, 5, 27567, 0.6
7000, 6, 20281, 0.4
7000, 6, 20281, 0.5
7000, 6, 20281, 0.6
7000, 7, 21781, 0.4
7000, 7, 21781, 0.5
7000, 7, 21781, 0.6
7000, 8, 31908, 0.4
7000, 8, 31908, 0.5
7000, 8, 31908, 0.6
7000, 9, 18483, 0.4
7000, 9, 18483, 0.5
7000, 9, 18483, 0.6
7000, 10, 24412, 0.4
7000, 10, 24412, 0.5
7000, 10, 24412, 0.6
7000, 11, 11940, 0.4
7000, 11, 11940, 0.5
7000, 11, 11940, 0.6
7000, 12, 13132, 0.4
7000, 12, 13132, 0.5
7000, 12, 13132, 0.6
7000, 13, 7828, 0.4
7000, 13, 7828, 0.5
7000, 13, 7828, 0.6
7000, 14, 19907, 0.4
7000, 14, 19907, 0.5
7000, 14, 19907, 0.6
7000, 15, 1824, 0.4
7000, 15, 1824, 0.5
7000, 15, 1824, 0.6
7000, 16, 8500, 0.4
7000, 16, 8500, 0.5
7000, 16, 8500, 0.6
7000, 17, 2093, 0.4
7000, 17, 2093, 0.5
7000, 17, 2093, 0.6
7000, 18, 590, 0.4
7000, 18, 590, 0.5
7000, 18, 590, 0.6
7000, 19, 8825, 0.4
7000, 19, 8825, 0.5
7000, 19, 8825, 0.6
7000, 20, 3019, 0.4
7000, 20, 3019, 0.5
7000, 20, 3019, 0.6
7000, 21, 27716, 0.4
7000, 21, 27716, 0.5
7000, 21, 27716, 0.6
7000, 22, 9390, 0.4
7000, 22, 9390, 0.5
7000, 22, 9390, 0.6
7000, 23, 29932, 0.4
7000, 23, 29932, 0.5
7000, 23, 29932, 0.6
7000, 24, 27746, 0.4
7000, 24, 27746, 0.5
7000, 24, 27746, 0.6
7000, 25, 29598, 0.4
7000, 25, 29598, 0.5
7000, 25, 29598, 0.6
7000, 26, 11915, 0.4
7000, 26, 11915, 0.5
7000, 26, 11915, 0.6
7000, 27, 21687, 0.4
7000, 27, 21687, 0.5
7000, 27, 21687, 0.6
7000, 28, 23176, 0.4
7000, 28, 23176, 0.5
7000, 28, 23176, 0.6
7000, 29, 27755, 0.4
7000, 29, 27755, 0.5
7000, 29, 27755, 0.6
7000, 30, 2312, 0.4
7000, 30, 2312, 0.5
7000, 30, 2312, 0.6
7000, 31, 5181, 0.4
7000, 31, 5181, 0.5
7000, 31, 5181, 0.6
7000, 32, 2363, 0.4
7000, 32, 2363, 0.5
7000, 32, 2363, 0.6
7000, 33, 22426, 0.4
7000, 33, 22426, 0.5
7000, 33, 22426, 0.6
7000, 34, 29004, 0.4
7000, 34, 29004, 0.5
7000, 34, 29004, 0.6
7000, 35, 1623, 0.4
7000, 35, 1623, 0.5
7000, 35, 1623, 0.6
7000, 36, 31388, 0.4
7000, 36, 31388, 0.5
7000, 36, 31388, 0.6
7000, 37, 16025, 0.4
7000, 37, 16025, 0.5
7000, 37, 16025, 0.6
7000, 38, 31533, 0.4
7000, 38, 31533, 0.5
7000, 38, 31533, 0.6
7000, 39, 28729, 0.4
7000, 39, 28729, 0.5
7000, 39, 28729, 0.6
7000, 40, 565, 0.4
7000, 40, 565, 0.5
7000, 40, 565, 0.6
7000, 41, 2428, 0.4
7000, 41, 2428, 0.5
7000, 41, 2428, 0.6
7000, 42, 25426, 0.4
7000, 42, 25426, 0.5
7000, 42, 25426, 0.6
7000, 43, 17676, 0.4
7000, 43, 17676, 0.5
7000, 43, 17676, 0.6
7000, 44, 17698, 0.4
7000, 44, 17698, 0.5
7000, 44, 17698, 0.6
7000, 45, 31112, 0.4
7000, 45, 31112, 0.5
7000, 45, 31112, 0.6
7000, 46, 10338, 0.4
7000, 46, 10338, 0.5
7000, 46, 10338, 0.6
7000, 47, 26917, 0.4
7000, 47, 26917, 0.5
7000, 47, 26917, 0.6
7000, 48, 15976, 0.4
7000, 48, 15976, 0.5
7000, 48, 15976, 0.6
7000, 49, 31440, 0.4
7000, 49, 31440, 0.5
7000, 49, 31440, 0.6
7000, 50, 9464, 0.4
7000, 50, 9464, 0.5
7000, 50, 9464, 0.6
14000, 2, 16216, 0.4
14000, 2, 16216, 0.5
14000, 2, 16216, 0.6
14000, 3, 20496, 0.4
14000, 3, 20496, 0.5
14000, 3, 20496, 0.6
14000, 4, 2539, 0.4
14000, 4, 2539, 0.5
14000, 4, 2539, 0.6
14000, 5, 19579, 0.4
14000, 5, 19579, 0.5
14000, 5, 19579, 0.6
14000, 6, 17304, 0.4
14000, 6, 17304, 0.5
14000, 6, 17304, 0.6
14000, 7, 31073, 0.4
