eCM, nPile, seed, R
7000, 2, 5128, 0.4
7000, 2, 5128, 0.5
7000, 2, 5128, 0.6
7000, 3, 23137, 0.4
7000, 3, 23137, 0.5
7000, 3, 23137, 0.6
7000, 4, 19779, 0.4
7000, 4, 19779, 0.5
7000, 4, 19779, 0.6
7000, 5, 18275, 0.4
7000, 5, 18275, 0.5
7000, 5, 18275, 0.6
7000, 6, 29502, 0.4
7000, 6, 29502, 0.5
7000, 6, 29502, 0.6
7000, 7, 17310, 0.4
7000, 7, 17310, 0.5
7000, 7, 17310, 0.6
7000, 8, 23790, 0.4
7000, 8, 23790, 0.5
7000, 8, 23790, 0.6
7000, 9, 19438, 0.4
7000, 9, 19438, 0.5
7000, 9, 19438, 0.6
7000, 10, 9174, 0.4
7000, 10, 9174, 0.5
7000, 10, 9174, 0.6
7000, 11, 31357, 0.4
7000, 11, 31357, 0.5
7000, 11, 31357, 0.6
7000, 12, 29435, 0.4
7000, 12, 29435, 0.5
7000, 12, 29435, 0.6
7000, 13, 25254, 0.4
7000, 13, 25254, 0.5
7000, 13, 25254, 0.6
7000, 14, 11787, 0.4
7000, 14, 11787, 0.5
7000, 14, 11787, 0.6
7000, 15, 29048, 0.4
7000, 15, 29048, 0.5
7000, 15, 29048, 0.6
7000, 16, 16957, 0.4
7000, 16, 16957, 0.5
7000, 16, 16957, 0.6
7000, 17, 29594, 0.4
7000, 17, 29594, 0.5
7000, 17, 29594, 0.6
7000, 18, 24878, 0.4
7000, 18, 24878, 0.5
7000, 18, 24878, 0.6
7000, 19, 22227, 0.4
7000, 19, 22227, 0.5
7000, 19, 22227, 0.6
7000, 20, 4176, 0.4
7000, 20, 4176, 0.5
7000, 20, 4176, 0.6
7000, 21, 15967, 0.4
7000, 21, 15967, 0.5
7000, 21, 15967, 0.6
7000, 22, 27932, 0.4
7000, 22, 27932, 0.5
7000, 22, 27932, 0.6
7000, 23, 31551, 0.4
7000, 23, 31551, 0.5
7000, 23, 31551, 0.6
7000, 24, 652, 0.4
7000, 24, 652, 0.5
7000, 24, 652, 0.6
7000, 25, 25400, 0.4
7000, 25, 25400, 0.5
7000, 25, 25400, 0.6
7000, 26, 15746, 0.4
7000, 26, 15746, 0.5
7000, 26, 15746, 0.6
7000, 27, 28680, 0.4
7000, 27, 28680, 0.5
7000, 27, 28680, 0.6
7000, 28, 26181, 0.4
7000, 28, 26181, 0.5
7000, 28, 26181, 0.6
7000, 29, 5623, 0.4
7000, 29, 5623, 0.5
7000, 29, 5623, 0.6
7000, 30, 23864, 0.4
7000, 30, 23864, 0.5
7000, 30, 23864, 0.6
7000, 31, 21733, 0.4
7000, 31, 21733, 0.5
7000, 31, 21733, 0.6
7000, 32, 16023, 0.4
7000, 32, 16023, 0.5
7000, 32, 16023, 0.6
7000, 33, 19460, 0.4
7000, 33, 19460, 0.5
7000, 33, 19460, 0.6
7000, 34, 16204, 0.4
7000, 34, 16204, 0.5
7000, 34, 16204, 0.6
7000, 35, 13980, 0.4
7000, 35, 13980, 0.5
7000, 35, 13980, 0.6
7000, 36, 3229, 0.4
7000, 36, 3229, 0.5
7000, 36, 3229, 0.6
7000, 37, 13909, 0.4
7000, 37, 13909, 0.5
7000, 37, 13909, 0.6
7000, 38, 17226, 0.4
7000, 38, 17226, 0.5
7000, 38, 17226, 0.6
7000, 39, 25852, 0.4
7000, 39, 25852, 0.5
7000, 39, 25852, 0.6
7000, 40, 14868, 0.4
7000, 40, 14868, 0.5
7000, 40, 14868, 0.6
7000, 41, 11106, 0.4
7000, 41, 11106, 0.5
7000, 41, 11106, 0.6
7000, 42, 25185, 0.4
7000, 42, 25185, 0.5
7000, 42, 25185, 0.6
7000, 43, 4893, 0.4
7000, 43, 4893, 0.5
7000, 43, 4893, 0.6
7000, 44, 223, 0.4
7000, 44, 223, 0.5
7000, 44, 223, 0.6
7000, 45, 32704, 0.4
7000, 45, 32704, 0.5
