eCM, nPile, seed, R
7000, 2, 27802, 0.4
7000, 2, 27802, 0.5
7000, 2, 27802, 0.6
7000, 3, 10850, 0.4
7000, 3, 10850, 0.5
7000, 3, 10850, 0.6
7000, 4, 10080, 0.4
7000, 4, 10080, 0.5
7000, 4, 10080, 0.6
7000, 5, 23558, 0.4
7000, 5, 23558, 0.5
7000, 5, 23558, 0.6
7000, 6, 12403, 0.4
7000, 6, 12403, 0.5
7000, 6, 12403, 0.6
7000, 7, 11157, 0.4
7000, 7, 11157, 0.5
7000, 7, 11157, 0.6
7000, 8, 8040, 0.4
7000, 8, 8040, 0.5
7000, 8, 8040, 0.6
7000, 9, 3846, 0.4
7000, 9, 3846, 0.5
7000, 9, 3846, 0.6
7000, 10, 30275, 0.4
7000, 10, 30275, 0.5
7000, 10, 30275, 0.6
7000, 11, 18591, 0.4
7000, 11, 18591, 0.5
7000, 11, 18591, 0.6
7000, 12, 25587, 0.4
7000, 12, 25587, 0.5
7000, 12, 25587, 0.6
7000, 13, 5411, 0.4
7000, 13, 5411, 0.5
7000, 13, 5411, 0.6
7000, 14, 28712, 0.4
7000, 14, 28712, 0.5
7000, 14, 28712, 0.6
7000, 15, 1381, 0.4
7000, 15, 1381, 0.5
7000, 15, 1381, 0.6
7000, 16, 27102, 0.4
7000, 16, 27102, 0.5
7000, 16, 27102, 0.6
7000, 17, 15813, 0.4
7000, 17, 15813, 0.5
7000, 17, 15813, 0.6
7000, 18, 1127, 0.4
7000, 18, 1127, 0.5
7000, 18, 1127, 0.6
7000, 19, 12826, 0.4
7000, 19, 12826, 0.5
7000, 19, 12826, 0.6
7000, 20, 936, 0.4
7000, 20, 936, 0.5
7000, 20, 936, 0.6
7000, 21, 23781, 0.4
7000, 21, 23781, 0.5
7000, 21, 23781, 0.6
7000, 22, 24109, 0.4
7000, 22, 24109, 0.5
7000, 22, 24109, 0.6
7000, 23, 11526, 0.4
7000, 23, 11526, 0.5
7000, 23, 11526, 0.6
7000, 24, 16834, 0.4
7000, 24, 16834, 0.5
7000, 24, 16834, 0.6
7000, 25, 22738, 0.4
7000, 25, 22738, 0.5
7000, 25, 22738, 0.6
7000, 26, 25716, 0.4
7000, 26, 25716, 0.5
7000, 26, 25716, 0.6
7000, 27, 11164, 0.4
7000, 27, 11164, 0.5
7000, 27, 11164, 0.6
7000, 28, 21149, 0.4
7000, 28, 21149, 0.5
7000, 28, 21149, 0.6
7000, 29, 4291, 0.4
7000, 29, 4291, 0.5
7000, 29, 4291, 0.6
7000, 30, 19296, 0.4
7000, 30, 19296, 0.5
7000, 30, 19296, 0.6
7000, 31, 20098, 0.4
7000, 31, 20098, 0.5
7000, 31, 20098, 0.6
7000, 32, 3733, 0.4
7000, 32, 3733, 0.5
7000, 32, 3733, 0.6
7000, 33, 11669, 0.4
7000, 33, 11669, 0.5
7000, 33, 11669, 0.6
7000, 34, 27695, 0.4
7000, 34, 27695, 0.5
7000, 34, 27695, 0.6
7000, 35, 22021, 0.4
7000, 35, 22021, 0.5
7000, 35, 22021, 0.6
7000, 36, 32737, 0.4
7000, 36, 32737, 0.5
7000, 36, 32737, 0.6
7000, 37, 19494, 0.4
7000, 37, 19494, 0.5
7000, 37, 19494, 0.6
7000, 38, 29816, 0.4
7000, 38, 29816, 0.5
7000, 38, 29816, 0.6
7000, 39, 19702, 0.4
7000, 39, 19702, 0.5
7000, 39, 19702, 0.6
7000, 40, 31182, 0.4
7000, 40, 31182, 0.5
7000, 40, 31182, 0.6
7000, 41, 5383, 0.4
7000, 41, 5383, 0.5
7000, 41, 5383, 0.6
7000, 42, 16435, 0.4
7000, 42, 16435, 0.5
7000, 42, 16435, 0.6
7000, 43, 8007, 0.4
7000, 43, 8007, 0.5
7000, 43, 8007, 0.6
7000, 44, 10153, 0.4
7000, 44, 10153, 0.5
7000, 44, 10153, 0.6
7000, 45, 2573, 0.4
7000, 45, 2573, 0.5
7000, 45, 2573, 0.6
7000, 46, 3712, 0.4
7000, 46, 3712, 0.5
7000, 46, 3712, 0.6
7000, 47, 4872, 0.4
7000, 47, 4872, 0.5
7000, 47, 4872, 0.6
7000, 48, 13671, 0.4
7000, 48, 13671, 0.5
7000, 48, 13671, 0.6
7000, 49, 9653, 0.4
7000, 49, 9653, 0.5
7000, 49, 9653, 0.6
7000, 50, 13882, 0.4
7000, 50, 13882, 0.5
7000, 50, 13882, 0.6
14000, 2, 19112, 0.4
14000, 2, 19112, 0.5
14000, 2, 19112, 0.6
14000, 3, 5423, 0.4
14000, 3, 5423, 0.5
14000, 3, 5423, 0.6
14000, 4, 7877, 0.4
14000, 4, 7877, 0.5
14000, 4, 7877, 0.6
14000, 5, 29111, 0.4
14000, 5, 29111, 0.5
14000, 5, 29111, 0.6
14000, 6, 30086, 0.4
14000, 6, 30086, 0.5
14000, 6, 30086, 0.6
14000, 7, 30397, 0.4
14000, 7, 30397, 0.5
14000, 7, 30397, 0.6
14000, 8, 14233, 0.4
14000, 8, 14233, 0.5
