eCM, nPile, seed, R
7000, 2, 23172, 0.4
7000, 2, 23172, 0.5
7000, 2, 23172, 0.6
7000, 3, 14579, 0.4
7000, 3, 14579, 0.5
7000, 3, 14579, 0.6
7000, 4, 7521, 0.4
7000, 4, 7521, 0.5
7000, 4, 7521, 0.6
7000, 5, 8566, 0.4
7000, 5, 8566, 0.5
7000, 5, 8566, 0.6
7000, 6, 8400, 0.4
7000, 6, 8400, 0.5
7000, 6, 8400, 0.6
7000, 7, 22883, 0.4
7000, 7, 22883, 0.5
7000, 7, 22883, 0.6
7000, 8, 16179, 0.4
7000, 8, 16179, 0.5
7000, 8, 16179, 0.6
7000, 9, 715, 0.4
7000, 9, 715, 0.5
7000, 9, 715, 0.6
7000, 10, 14459, 0.4
7000, 10, 14459, 0.5
7000, 10, 14459, 0.6
7000, 11, 15649, 0.4
7000, 11, 15649, 0.5
7000, 11, 15649, 0.6
7000, 12, 4892, 0.4
7000, 12, 4892, 0.5
7000, 12, 4892, 0.6
7000, 13, 21369, 0.4
7000, 13, 21369, 0.5
7000, 13, 21369, 0.6
7000, 14, 23117, 0.4
7000, 14, 23117, 0.5
7000, 14, 23117, 0.6
7000, 15, 17306, 0.4
7000, 15, 17306, 0.5
7000, 15, 17306, 0.6
7000, 16, 27349, 0.4
7000, 16, 27349, 0.5
7000, 16, 27349, 0.6
7000, 17, 32357, 0.4
7000, 17, 32357, 0.5
7000, 17, 32357, 0.6
7000, 18, 29405, 0.4
7000, 18, 29405, 0.5
7000, 18, 29405, 0.6
7000, 19, 14359, 0.4
7000, 19, 14359, 0.5
7000, 19, 14359, 0.6
7000, 20, 18769, 0.4
7000, 20, 18769, 0.5
7000, 20, 18769, 0.6
7000, 21, 4033, 0.4
7000, 21, 4033, 0.5
7000, 21, 4033, 0.6
7000, 22, 4402, 0.4
7000, 22, 4402, 0.5
7000, 22, 4402, 0.6
7000, 23, 10788, 0.4
7000, 23, 10788, 0.5
7000, 23, 10788, 0.6
7000, 24, 20788, 0.4
7000, 24, 20788, 0.5
7000, 24, 20788, 0.6
7000, 25, 19847, 0.4
7000, 25, 19847, 0.5
7000, 25, 19847, 0.6
7000, 26, 6411, 0.4
7000, 26, 6411, 0.5
7000, 26, 6411, 0.6
7000, 27, 27627, 0.4
7000, 27, 27627, 0.5
7000, 27, 27627, 0.6
7000, 28, 18456, 0.4
7000, 28, 18456, 0.5
7000, 28, 18456, 0.6
7000, 29, 15725, 0.4
7000, 29, 15725, 0.5
