eCM, nPile, seed, R
7000, 2, 17318, 0.4
7000, 2, 17318, 0.5
7000, 2, 17318, 0.6
7000, 3, 394, 0.4
7000, 3, 394, 0.5
7000, 3, 394, 0.6
7000, 4, 18117, 0.4
7000, 4, 18117, 0.5
7000, 4, 18117, 0.6
7000, 5, 23324, 0.4
7000, 5, 23324, 0.5
7000, 5, 23324, 0.6
7000, 6, 24224, 0.4
7000, 6, 24224, 0.5
7000, 6, 24224, 0.6
7000, 7, 31125, 0.4
7000, 7, 31125, 0.5
7000, 7, 31125, 0.6
7000, 8, 30232, 0.4
7000, 8, 30232, 0.5
7000, 8, 30232, 0.6
7000, 9, 23992, 0.4
7000, 9, 23992, 0.5
7000, 9, 23992, 0.6
7000, 10, 10598, 0.4
7000, 10, 10598, 0.5
7000, 10, 10598, 0.6
7000, 11, 11904, 0.4
7000, 11, 11904, 0.5
7000, 11, 11904, 0.6
7000, 12, 10375, 0.4
7000, 12, 10375, 0.5
7000, 12, 10375, 0.6
7000, 13, 22493, 0.4
7000, 13, 22493, 0.5
7000, 13, 22493, 0.6
7000, 14, 9898, 0.4
7000, 14, 9898, 0.5
7000, 14, 9898, 0.6
7000, 15, 16276, 0.4
7000, 15, 16276, 0.5
7000, 15, 16276, 0.6
7000, 16, 14882, 0.4
7000, 16, 14882, 0.5
7000, 16, 14882, 0.6
7000, 17, 13823, 0.4
7000, 17, 13823, 0.5
7000, 17, 13823, 0.6
7000, 18, 12702, 0.4
7000, 18, 12702, 0.5
7000, 18, 12702, 0.6
7000, 19, 8360, 0.4
7000, 19, 8360, 0.5
7000, 19, 8360, 0.6
7000, 20, 19227, 0.4
7000, 20, 19227, 0.5
7000, 20, 19227, 0.6
7000, 21, 2532, 0.4
7000, 21, 2532, 0.5
7000, 21, 2532, 0.6
7000, 22, 5167, 0.4
7000, 22, 5167, 0.5
7000, 22, 5167, 0.6
7000, 23, 18533, 0.4
7000, 23, 18533, 0.5
7000, 23, 18533, 0.6
7000, 24, 10469, 0.4
7000, 24, 10469, 0.5
7000, 24, 10469, 0.6
7000, 25, 4261, 0.4
7000, 25, 4261, 0.5
7000, 25, 4261, 0.6
7000, 26, 3732, 0.4
7000, 26, 3732, 0.5
7000, 26, 3732, 0.6
7000, 27, 25768, 0.4
7000, 27, 25768, 0.5
7000, 27, 25768, 0.6
7000, 28, 9464, 0.4
7000, 28, 9464, 0.5
7000, 28, 9464, 0.6
7000, 29, 28553, 0.4
7000, 29, 28553, 0.5
7000, 29, 28553, 0.6
7000, 30, 21149, 0.4
7000, 30, 21149, 0.5
7000, 30, 21149, 0.6
7000, 31, 24193, 0.4
7000, 31, 24193, 0.5
7000, 31, 24193, 0.6
7000, 32, 11077, 0.4
7000, 32, 11077, 0.5
7000, 32, 11077, 0.6
7000, 33, 29306, 0.4
7000, 33, 29306, 0.5
