eCM, nPile, seed, R
7000, 2, 20245, 0.4
7000, 2, 20245, 0.5
7000, 2, 20245, 0.6
7000, 3, 18102, 0.4
7000, 3, 18102, 0.5
7000, 3, 18102, 0.6
7000, 4, 6575, 0.4
7000, 4, 6575, 0.5
7000, 4, 6575, 0.6
7000, 5, 20825, 0.4
7000, 5, 20825, 0.5
7000, 5, 20825, 0.6
7000, 6, 20710, 0.4
7000, 6, 20710, 0.5
7000, 6, 20710, 0.6
7000, 7, 30302, 0.4
7000, 7, 30302, 0.5
7000, 7, 30302, 0.6
7000, 8, 22782, 0.4
7000, 8, 22782, 0.5
7000, 8, 22782, 0.6
7000, 9, 23538, 0.4
7000, 9, 23538, 0.5
7000, 9, 23538, 0.6
7000, 10, 15368, 0.4
7000, 10, 15368, 0.5
7000, 10, 15368, 0.6
7000, 11, 28712, 0.4
7000, 11, 28712, 0.5
7000, 11, 28712, 0.6
7000, 12, 30911, 0.4
7000, 12, 30911, 0.5
7000, 12, 30911, 0.6
7000, 13, 5325, 0.4
7000, 13, 5325, 0.5
7000, 13, 5325, 0.6
7000, 14, 31633, 0.4
7000, 14, 31633, 0.5
7000, 14, 31633, 0.6
7000, 15, 18890, 0.4
7000, 15, 18890, 0.5
7000, 15, 18890, 0.6
7000, 16, 6719, 0.4
7000, 16, 6719, 0.5
7000, 16, 6719, 0.6
7000, 17, 21917, 0.4
7000, 17, 21917, 0.5
7000, 17, 21917, 0.6
7000, 18, 25803, 0.4
7000, 18, 25803, 0.5
7000, 18, 25803, 0.6
7000, 19, 2251, 0.4
7000, 19, 2251, 0.5
7000, 19, 2251, 0.6
7000, 20, 7689, 0.4
7000, 20, 7689, 0.5
7000, 20, 7689, 0.6
7000, 21, 522, 0.4
7000, 21, 522, 0.5
7000, 21, 522, 0.6
7000, 22, 32118, 0.4
7000, 22, 32118, 0.5
7000, 22, 32118, 0.6
7000, 23, 5016, 0.4
7000, 23, 5016, 0.5
7000, 23, 5016, 0.6
7000, 24, 13212, 0.4
7000, 24, 13212, 0.5
7000, 24, 13212, 0.6
7000, 25, 5653, 0.4
7000, 25, 5653, 0.5
7000, 25, 5653, 0.6
7000, 26, 5827, 0.4
7000, 26, 5827, 0.5
7000, 26, 5827, 0.6
7000, 27, 4061, 0.4
7000, 27, 4061, 0.5
7000, 27, 4061, 0.6
7000, 28, 11547, 0.4
7000, 28, 11547, 0.5
7000, 28, 11547, 0.6
7000, 29, 30289, 0.4
7000, 29, 30289, 0.5
7000, 29, 30289, 0.6
7000, 30, 24036, 0.4
7000, 30, 24036, 0.5
7000, 30, 24036, 0.6
7000, 31, 31521, 0.4
7000, 31, 31521, 0.5
7000, 31, 31521, 0.6
7000, 32, 29871, 0.4
7000, 32, 29871, 0.5
7000, 32, 29871, 0.6
7000, 33, 16173, 0.4
7000, 33, 16173, 0.5
7000, 33, 16173, 0.6
7000, 34, 25060, 0.4
7000, 34, 25060, 0.5
7000, 34, 25060, 0.6
7000, 35, 4888, 0.4
7000, 35, 4888, 0.5
7000, 35, 4888, 0.6
7000, 36, 24388, 0.4
7000, 36, 24388, 0.5
7000, 36, 24388, 0.6
7000, 37, 15591, 0.4
7000, 37, 15591, 0.5
7000, 37, 15591, 0.6
7000, 38, 3524, 0.4
7000, 38, 3524, 0.5
7000, 38, 3524, 0.6
7000, 39, 25384, 0.4
7000, 39, 25384, 0.5
7000, 39, 25384, 0.6
7000, 40, 8273, 0.4
7000, 40, 8273, 0.5
7000, 40, 8273, 0.6
7000, 41, 25513, 0.4
7000, 41, 25513, 0.5
7000, 41, 25513, 0.6
7000, 42, 9111, 0.4
7000, 42, 9111, 0.5
7000, 42, 9111, 0.6
7000, 43, 11895, 0.4
7000, 43, 11895, 0.5
7000, 43, 11895, 0.6
7000, 44, 22270, 0.4
7000, 44, 22270, 0.5
7000, 44, 22270, 0.6
7000, 45, 5823, 0.4
7000, 45, 5823, 0.5
7000, 45, 5823, 0.6
7000, 46, 8545, 0.4
7000, 46, 8545, 0.5
7000, 46, 8545, 0.6
7000, 47, 15287, 0.4
7000, 47, 15287, 0.5
7000, 47, 15287, 0.6
7000, 48, 17083, 0.4
7000, 48, 17083, 0.5
7000, 48, 17083, 0.6
7000, 49, 15831, 0.4
7000, 49, 15831, 0.5
7000, 49, 15831, 0.6
7000, 50, 12891, 0.4
7000, 50, 12891, 0.5
7000, 50, 12891, 0.6
14000, 2, 15981, 0.4
14000, 2, 15981, 0.5
14000, 2, 15981, 0.6
14000, 3, 1711, 0.4
14000, 3, 1711, 0.5
14000, 3, 1711, 0.6
14000, 4, 7546, 0.4
14000, 4, 7546, 0.5
14000, 4, 7546, 0.6
14000, 5, 27748, 0.4
14000, 5, 27748, 0.5
14000, 5, 27748, 0.6
14000, 6, 24690, 0.4
14000, 6, 24690, 0.5
14000, 6, 24690, 0.6
14000, 7, 31825, 0.4
14000, 7, 31825, 0.5
14000, 7, 31825, 0.6
14000, 8, 27722, 0.4
14000, 8, 27722, 0.5
14000, 8, 27722, 0.6
14000, 9, 5386, 0.4
14000, 9, 5386, 0.5
14000, 9, 5386, 0.6
14000, 10, 519, 0.4
14000, 10, 519, 0.5
14000, 10, 519, 0.6
14000, 11, 22995, 0.4
14000, 11, 22995, 0.5
14000, 11, 22995, 0.6
14000, 12, 27853, 0.4
14000, 12, 27853, 0.5
14000, 12, 27853, 0.6
14000, 13, 17716, 0.4
14000, 13, 17716, 0.5
14000, 13, 17716, 0.6
14000, 14, 1620, 0.4
14000, 14, 1620, 0.5
14000, 14, 1620, 0.6
14000, 15, 8123, 0.4
14000, 15, 8123, 0.5
14000, 15, 8123, 0.6
14000, 16, 26140, 0.4
14000, 16, 26140, 0.5
14000, 16, 26140, 0.6
14000, 17, 24755, 0.4
14000, 17, 24755, 0.5
14000, 17, 24755, 0.6
14000, 18, 13416, 0.4
14000, 18, 13416, 0.5
14000, 18, 13416, 0.6
14000, 19, 23053, 0.4
14000, 19, 23053, 0.5
14000, 19, 23053, 0.6
14000, 20, 22331, 0.4
14000, 20, 22331, 0.5
14000, 20, 22331, 0.6
14000, 21, 32694, 0.4
14000, 21, 32694, 0.5
14000, 21, 32694, 0.6
14000, 22, 12695, 0.4
14000, 22, 12695, 0.5
14000, 22, 12695, 0.6
14000, 23, 2241, 0.4
14000, 23, 2241, 0.5
14000, 23, 2241, 0.6
14000, 24, 29447, 0.4
14000, 24, 29447, 0.5
14000, 24, 29447, 0.6
14000, 25, 31017, 0.4
14000, 25, 31017, 0.5
14000, 25, 31017, 0.6
14000, 26, 17639, 0.4
14000, 26, 17639, 0.5
14000, 26, 17639, 0.6
14000, 27, 28478, 0.4
14000, 27, 28478, 0.5
14000, 27, 28478, 0.6
14000, 28, 9799, 0.4
14000, 28, 9799, 0.5
14000, 28, 9799, 0.6
14000, 29, 14948, 0.4
14000, 29, 14948, 0.5
14000, 29, 14948, 0.6
14000, 30, 9818, 0.4
14000, 30, 9818, 0.5
14000, 30, 9818, 0.6
14000, 31, 6441, 0.4
14000, 31, 6441, 0.5
14000, 31, 6441, 0.6
14000, 32, 3302, 0.4
14000, 32, 3302, 0.5
14000, 32, 3302, 0.6
14000, 33, 3669, 0.4
14000, 33, 3669, 0.5
14000, 33, 3669, 0.6
14000, 34, 5492, 0.4
14000, 34, 5492, 0.5
14000, 34, 5492, 0.6
14000, 35, 14343, 0.4
14000, 35, 14343, 0.5
14000, 35, 14343, 0.6
14000, 36, 7586, 0.4
14000, 36, 7586, 0.5
14000, 36, 7586, 0.6
14000, 37, 10889, 0.4
14000, 37, 10889, 0.5
14000, 37, 10889, 0.6
14000, 38, 25637, 0.4
14000, 38, 25637, 0.5
14000, 38, 25637, 0.6
14000, 39, 4799, 0.4
14000, 39, 4799, 0.5
14000, 39, 4799, 0.6
14000, 40, 3528, 0.4
14000, 40, 3528, 0.5
14000, 40, 3528, 0.6
14000, 41, 28689, 0.4
14000, 41, 28689, 0.5
14000, 41, 28689, 0.6
14000, 42, 15306, 0.4
14000, 42, 15306, 0.5
14000, 42, 15306, 0.6
14000, 43, 30725, 0.4
14000, 43, 30725, 0.5
14000, 43, 30725, 0.6
14000, 44, 18597, 0.4
14000, 44, 18597, 0.5
14000, 44, 18597, 0.6
14000, 45, 6672, 0.4
14000, 45, 6672, 0.5
14000, 45, 6672, 0.6
14000, 46, 25227, 0.4
14000, 46, 25227, 0.5
14000, 46, 25227, 0.6
14000, 47, 18095, 0.4
14000, 47, 18095, 0.5
14000, 47, 18095, 0.6
14000, 48, 20716, 0.4
14000, 48, 20716, 0.5
14000, 48, 20716, 0.6
14000, 49, 23525, 0.4
14000, 49, 23525, 0.5
14000, 49, 23525, 0.6
14000, 50, 28644, 0.4
14000, 50, 28644, 0.5
14000, 50, 28644, 0.6
