eCM, nPile, seed, R
7000, 2, 32288, 0.4
7000, 2, 32288, 0.5
7000, 2, 32288, 0.6
7000, 3, 17291, 0.4
7000, 3, 17291, 0.5
7000, 3, 17291, 0.6
7000, 4, 3502, 0.4
7000, 4, 3502, 0.5
7000, 4, 3502, 0.6
7000, 5, 23167, 0.4
7000, 5, 23167, 0.5
7000, 5, 23167, 0.6
7000, 6, 31386, 0.4
7000, 6, 31386, 0.5
7000, 6, 31386, 0.6
7000, 7, 24792, 0.4
7000, 7, 24792, 0.5
7000, 7, 24792, 0.6
7000, 8, 24095, 0.4
7000, 8, 24095, 0.5
7000, 8, 24095, 0.6
7000, 9, 1359, 0.4
7000, 9, 1359, 0.5
7000, 9, 1359, 0.6
7000, 10, 10726, 0.4
7000, 10, 10726, 0.5
7000, 10, 10726, 0.6
7000, 11, 32330, 0.4
7000, 11, 32330, 0.5
7000, 11, 32330, 0.6
7000, 12, 1395, 0.4
7000, 12, 1395, 0.5
7000, 12, 1395, 0.6
7000, 13, 25393, 0.4
7000, 13, 25393, 0.5
7000, 13, 25393, 0.6
7000, 14, 20573, 0.4
7000, 14, 20573, 0.5
7000, 14, 20573, 0.6
7000, 15, 20865, 0.4
7000, 15, 20865, 0.5
7000, 15, 20865, 0.6
7000, 16, 6928, 0.4
7000, 16, 6928, 0.5
7000, 16, 6928, 0.6
7000, 17, 410, 0.4
7000, 17, 410, 0.5
7000, 17, 410, 0.6
7000, 18, 28428, 0.4
7000, 18, 28428, 0.5
7000, 18, 28428, 0.6
7000, 19, 13291, 0.4
7000, 19, 13291, 0.5
7000, 19, 13291, 0.6
7000, 20, 25844, 0.4
7000, 20, 25844, 0.5
7000, 20, 25844, 0.6
7000, 21, 5925, 0.4
7000, 21, 5925, 0.5
7000, 21, 5925, 0.6
7000, 22, 18792, 0.4
7000, 22, 18792, 0.5
7000, 22, 18792, 0.6
7000, 23, 7211, 0.4
7000, 23, 7211, 0.5
7000, 23, 7211, 0.6
7000, 24, 4828, 0.4
7000, 24, 4828, 0.5
7000, 24, 4828, 0.6
7000, 25, 26463, 0.4
7000, 25, 26463, 0.5
7000, 25, 26463, 0.6
7000, 26, 12576, 0.4
7000, 26, 12576, 0.5
7000, 26, 12576, 0.6
7000, 27, 30852, 0.4
7000, 27, 30852, 0.5
7000, 27, 30852, 0.6
7000, 28, 27564, 0.4
7000, 28, 27564, 0.5
7000, 28, 27564, 0.6
7000, 29, 9668, 0.4
7000, 29, 9668, 0.5
7000, 29, 9668, 0.6
7000, 30, 12784, 0.4
7000, 30, 12784, 0.5
7000, 30, 12784, 0.6
7000, 31, 18202, 0.4
7000, 31, 18202, 0.5
7000, 31, 18202, 0.6
7000, 32, 19694, 0.4
7000, 32, 19694, 0.5
7000, 32, 19694, 0.6
7000, 33, 16480, 0.4
7000, 33, 16480, 0.5
7000, 33, 16480, 0.6
7000, 34, 10591, 0.4
7000, 34, 10591, 0.5
