eCM, nPile, seed, R
7000, 2, 6671, 0.4
7000, 2, 6671, 0.5
7000, 2, 6671, 0.6
7000, 3, 7647, 0.4
7000, 3, 7647, 0.5
7000, 3, 7647, 0.6
7000, 4, 20868, 0.4
7000, 4, 20868, 0.5
7000, 4, 20868, 0.6
7000, 5, 29077, 0.4
7000, 5, 29077, 0.5
7000, 5, 29077, 0.6
7000, 6, 8238, 0.4
7000, 6, 8238, 0.5
7000, 6, 8238, 0.6
7000, 7, 22283, 0.4
7000, 7, 22283, 0.5
7000, 7, 22283, 0.6
7000, 8, 27118, 0.4
7000, 8, 27118, 0.5
7000, 8, 27118, 0.6
7000, 9, 16364, 0.4
7000, 9, 16364, 0.5
7000, 9, 16364, 0.6
7000, 10, 21727, 0.4
7000, 10, 21727, 0.5
7000, 10, 21727, 0.6
7000, 11, 20104, 0.4
7000, 11, 20104, 0.5
7000, 11, 20104, 0.6
7000, 12, 31222, 0.4
7000, 12, 31222, 0.5
7000, 12, 31222, 0.6
7000, 13, 10522, 0.4
7000, 13, 10522, 0.5
7000, 13, 10522, 0.6
7000, 14, 2455, 0.4
7000, 14, 2455, 0.5
7000, 14, 2455, 0.6
7000, 15, 24631, 0.4
7000, 15, 24631, 0.5
7000, 15, 24631, 0.6
7000, 16, 23744, 0.4
7000, 16, 23744, 0.5
7000, 16, 23744, 0.6
7000, 17, 3227, 0.4
7000, 17, 3227, 0.5
7000, 17, 3227, 0.6
7000, 18, 16307, 0.4
7000, 18, 16307, 0.5
7000, 18, 16307, 0.6
7000, 19, 18276, 0.4
7000, 19, 18276, 0.5
7000, 19, 18276, 0.6
7000, 20, 16236, 0.4
7000, 20, 16236, 0.5
7000, 20, 16236, 0.6
7000, 21, 6154, 0.4
7000, 21, 6154, 0.5
7000, 21, 6154, 0.6
7000, 22, 32019, 0.4
7000, 22, 32019, 0.5
7000, 22, 32019, 0.6
7000, 23, 6024, 0.4
7000, 23, 6024, 0.5
7000, 23, 6024, 0.6
7000, 24, 1041, 0.4
7000, 24, 1041, 0.5
7000, 24, 1041, 0.6
7000, 25, 16034, 0.4
7000, 25, 16034, 0.5
7000, 25, 16034, 0.6
7000, 26, 11766, 0.4
7000, 26, 11766, 0.5
7000, 26, 11766, 0.6
7000, 27, 11771, 0.4
7000, 27, 11771, 0.5
7000, 27, 11771, 0.6
7000, 28, 25414, 0.4
7000, 28, 25414, 0.5
7000, 28, 25414, 0.6
7000, 29, 22055, 0.4
7000, 29, 22055, 0.5
7000, 29, 22055, 0.6
7000, 30, 18005, 0.4
7000, 30, 18005, 0.5
7000, 30, 18005, 0.6
7000, 31, 13165, 0.4
7000, 31, 13165, 0.5
7000, 31, 13165, 0.6
