eCM, nPile, seed, R
7000, 2, 15997, 0.4
7000, 2, 15997, 0.5
7000, 2, 15997, 0.6
7000, 3, 19179, 0.4
7000, 3, 19179, 0.5
7000, 3, 19179, 0.6
7000, 4, 20238, 0.4
7000, 4, 20238, 0.5
7000, 4, 20238, 0.6
7000, 5, 26817, 0.4
7000, 5, 26817, 0.5
7000, 5, 26817, 0.6
7000, 6, 2458, 0.4
7000, 6, 2458, 0.5
7000, 6, 2458, 0.6
7000, 7, 807, 0.4
7000, 7, 807, 0.5
7000, 7, 807, 0.6
7000, 8, 19954, 0.4
7000, 8, 19954, 0.5
7000, 8, 19954, 0.6
7000, 9, 26717, 0.4
7000, 9, 26717, 0.5
7000, 9, 26717, 0.6
7000, 10, 28145, 0.4
7000, 10, 28145, 0.5
7000, 10, 28145, 0.6
7000, 11, 7027, 0.4
7000, 11, 7027, 0.5
7000, 11, 7027, 0.6
7000, 12, 21137, 0.4
7000, 12, 21137, 0.5
7000, 12, 21137, 0.6
7000, 13, 2907, 0.4
7000, 13, 2907, 0.5
7000, 13, 2907, 0.6
7000, 14, 22317, 0.4
7000, 14, 22317, 0.5
7000, 14, 22317, 0.6
7000, 15, 3369, 0.4
7000, 15, 3369, 0.5
7000, 15, 3369, 0.6
7000, 16, 22960, 0.4
7000, 16, 22960, 0.5
7000, 16, 22960, 0.6
7000, 17, 28483, 0.4
7000, 17, 28483, 0.5
7000, 17, 28483, 0.6
7000, 18, 15428, 0.4
7000, 18, 15428, 0.5
7000, 18, 15428, 0.6
7000, 19, 17521, 0.4
7000, 19, 17521, 0.5
7000, 19, 17521, 0.6
7000, 20, 32719, 0.4
7000, 20, 32719, 0.5
7000, 20, 32719, 0.6
7000, 21, 10319, 0.4
7000, 21, 10319, 0.5
7000, 21, 10319, 0.6
7000, 22, 11315, 0.4
7000, 22, 11315, 0.5
7000, 22, 11315, 0.6
7000, 23, 6271, 0.4
7000, 23, 6271, 0.5
7000, 23, 6271, 0.6
7000, 24, 26653, 0.4
7000, 24, 26653, 0.5
7000, 24, 26653, 0.6
7000, 25, 76, 0.4
7000, 25, 76, 0.5
7000, 25, 76, 0.6
7000, 26, 19256, 0.4
7000, 26, 19256, 0.5
7000, 26, 19256, 0.6
7000, 27, 30719, 0.4
7000, 27, 30719, 0.5
7000, 27, 30719, 0.6
7000, 28, 22655, 0.4
7000, 28, 22655, 0.5
7000, 28, 22655, 0.6
7000, 29, 19419, 0.4
7000, 29, 19419, 0.5
7000, 29, 19419, 0.6
7000, 30, 27406, 0.4
7000, 30, 27406, 0.5
7000, 30, 27406, 0.6
7000, 31, 15183, 0.4
7000, 31, 15183, 0.5
7000, 31, 15183, 0.6
7000, 32, 26329, 0.4
7000, 32, 26329, 0.5
7000, 32, 26329, 0.6
7000, 33, 3041, 0.4
7000, 33, 3041, 0.5
7000, 33, 3041, 0.6
7000, 34, 5436, 0.4
7000, 34, 5436, 0.5
7000, 34, 5436, 0.6
7000, 35, 13494, 0.4
7000, 35, 13494, 0.5
7000, 35, 13494, 0.6
7000, 36, 22802, 0.4
7000, 36, 22802, 0.5
7000, 36, 22802, 0.6
7000, 37, 30767, 0.4
7000, 37, 30767, 0.5
7000, 37, 30767, 0.6
7000, 38, 29579, 0.4
7000, 38, 29579, 0.5
7000, 38, 29579, 0.6
7000, 39, 23323, 0.4
7000, 39, 23323, 0.5
7000, 39, 23323, 0.6
7000, 40, 31053, 0.4
7000, 40, 31053, 0.5
7000, 40, 31053, 0.6
7000, 41, 31290, 0.4
7000, 41, 31290, 0.5
7000, 41, 31290, 0.6
7000, 42, 16027, 0.4
7000, 42, 16027, 0.5
7000, 42, 16027, 0.6
7000, 43, 30820, 0.4
7000, 43, 30820, 0.5
7000, 43, 30820, 0.6
7000, 44, 5882, 0.4
7000, 44, 5882, 0.5
7000, 44, 5882, 0.6
7000, 45, 12887, 0.4
7000, 45, 12887, 0.5
7000, 45, 12887, 0.6
7000, 46, 4261, 0.4
7000, 46, 4261, 0.5
7000, 46, 4261, 0.6
7000, 47, 31170, 0.4
7000, 47, 31170, 0.5
7000, 47, 31170, 0.6
7000, 48, 29655, 0.4
7000, 48, 29655, 0.5
7000, 48, 29655, 0.6
7000, 49, 25815, 0.4
7000, 49, 25815, 0.5
7000, 49, 25815, 0.6
7000, 50, 9405, 0.4
7000, 50, 9405, 0.5
7000, 50, 9405, 0.6
14000, 2, 20026, 0.4
14000, 2, 20026, 0.5
14000, 2, 20026, 0.6
14000, 3, 29183, 0.4
14000, 3, 29183, 0.5
14000, 3, 29183, 0.6
14000, 4, 18440, 0.4
14000, 4, 18440, 0.5
14000, 4, 18440, 0.6
14000, 5, 12126, 0.4
14000, 5, 12126, 0.5
14000, 5, 12126, 0.6
14000, 6, 4598, 0.4
14000, 6, 4598, 0.5
14000, 6, 4598, 0.6
14000, 7, 25122, 0.4
14000, 7, 25122, 0.5
14000, 7, 25122, 0.6
14000, 8, 31314, 0.4
14000, 8, 31314, 0.5
14000, 8, 31314, 0.6
14000, 9, 29286, 0.4
14000, 9, 29286, 0.5
14000, 9, 29286, 0.6
14000, 10, 18758, 0.4
14000, 10, 18758, 0.5
14000, 10, 18758, 0.6
14000, 11, 24493, 0.4
14000, 11, 24493, 0.5
14000, 11, 24493, 0.6
14000, 12, 7232, 0.4
14000, 12, 7232, 0.5
14000, 12, 7232, 0.6
14000, 13, 433, 0.4
14000, 13, 433, 0.5
14000, 13, 433, 0.6
14000, 14, 21739, 0.4
14000, 14, 21739, 0.5
14000, 14, 21739, 0.6
14000, 15, 20767, 0.4
14000, 15, 20767, 0.5
14000, 15, 20767, 0.6
14000, 16, 3535, 0.4
14000, 16, 3535, 0.5
14000, 16, 3535, 0.6
14000, 17, 27035, 0.4
14000, 17, 27035, 0.5
14000, 17, 27035, 0.6
14000, 18, 7296, 0.4
14000, 18, 7296, 0.5
14000, 18, 7296, 0.6
14000, 19, 20639, 0.4
14000, 19, 20639, 0.5
14000, 19, 20639, 0.6
